Week_min_DateKey;Min of UCLF+OCLF;Average of UCLF+OCLF;Max of UCLF+OCLF
2022-04-04;11469,880999999999;12936,411517857146;14736,718999999999
2022-04-11;13267,468999999999;15025,259297619041;17017,164000000001
2022-04-18;14502,169;15570,750874999998;17086,553
2022-04-25;13358,325999999999;14398,059577380956;15573,154
2022-05-02;13324,67;14767,96088095238;15789,146000000001
2022-05-09;14471,323;16161,242535714278;18612,650000000001
2022-05-16;14019,778;16242,13666666668;17728,969000000001
2022-05-23;13261,768;15067,294571428572;16691,323
2022-05-30;13105,839;14596,177892857142;16547,883999999998
2022-06-06;13807,061;14877,236065476194;16206,374
2022-06-13;13564,116;14632,577607142854;16269,996999999999
2022-06-20;12586,847;15355,418708333335;17797,68
2022-06-27;14097,065000000001;17149,988303571437;18739,907999999999
2022-07-04;14352,963;16567,057541666658;19492,499
2022-07-11;13209,703;14762,700642857151;16663,078000000001
2022-07-18;12728,51;15079,672488095239;16734,204000000002
2022-07-25;12316,268;14725,300500000001;16950,133000000002
2022-08-01;12056,081;14730,794249999999;16760,832999999999
2022-08-08;11433,915999999999;12892,04010119048;15235,549999999999
2022-08-15;12915,995999999999;14190,245398809528;15291,633
2022-08-22;10900,269;13401,425190476195;15239,436
2022-08-29;11159,388999999999;14233,238803571423;16229,772000000001
2022-09-05;13419,822;15521,431553571423;16950,506000000001
2022-09-12;14460,700000000001;16032,749946428568;17862,477999999999
2022-09-19;15916,569;17295,96850000001;19214,761999999999
2022-09-26;14041,947;15686,240160714289;17417,984
2022-10-03;12774,906999999999;13925,324916666668;15308,057000000001
2022-10-10;12118,841;14289,59283928572;16079,021000000001
2022-10-17;14278,741;15491,319696428576;16963,214
2022-10-24;12944,527;14653,706279761915;16759,339
2022-10-31;13393,545;14634,293714285706;16373,26
2022-11-07;13799,927;15598,838517857135;17417,646000000001
2022-11-14;13945,204;15701,819630952377;17599,268
2022-11-21;13105,037;14606,147458333329;16969,963
2022-11-28;15649,126;16984,537529761903;18332,278999999999
2022-12-05;15006,423000000001;17266,702434523817;19965,368999999999
2022-12-12;13989,143;15492,231400000001;16402,097000000002
