YEAR_MONTH;PCLF;UCLF;OCLF
202103;10,699999999999999;25,899999999999999;2,5
202104;11,4;23,100000000000001;2,3999999999999999
202105;7;25,399999999999999;3,3999999999999999
202106;6,0999999999999996;25,300000000000001;2,1000000000000001
202107;7,5999999999999996;22,300000000000001;2,3999999999999999
202108;11;20,5;2,3999999999999999
202109;11,699999999999999;22,5;2,8999999999999999
202110;11,800000000000001;27,300000000000001;2,7000000000000002
202111;11,1;27,399999999999999;2,7000000000000002
202112;12,6;28,300000000000001;2
202201;12,6;27,199999999999999;1,8
202202;11,800000000000001;27,199999999999999;1,5
202203;12,800000000000001;27;1,3
202204;11,699999999999999;29,199999999999999;1,3
202205;6,7000000000000002;32,100000000000001;0,90000000000000002
202206;7,2000000000000002;28,800000000000001;3
202207;7,0999999999999996;30,600000000000001;2
202208;9,1999999999999993;28,600000000000001;0,69999999999999996
202209;11,4;32,700000000000003;0,80000000000000004
202210;12;29,899999999999999;1,3
202211;10,5;30,699999999999999;2,1000000000000001
202212;12,800000000000001;34,100000000000001;1,5
202301;;;
202302;;;
202303;;;
