Cal Year;Max Date;Max Peak to Peak Difference
All Time;2023-02-20  to 2023-02-21;1869,5
2021-22;2021-08-07  to 2021-08-08;1743,5999999999999
2022-23;2023-02-20  to 2023-02-21;1869,5
