Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2023-02-01 To Tuesday 2023-02-07;13600; to 14200;1,000000;2;From_13600 To_14200
Wednesday 2023-02-08 To Tuesday 2023-02-14;14200; to 14800;1,000000;1;From_14200 To_14800
Wednesday 2023-02-01 To Tuesday 2023-02-07;14200; to 14800;7,000000;11;From_14200 To_14800
Wednesday 2023-02-08 To Tuesday 2023-02-14;14800; to 15400;11,000000;19;From_14800 To_15400
Wednesday 2023-02-01 To Tuesday 2023-02-07;14800; to 15400;20,000000;34;From_14800 To_15400
Wednesday 2023-02-01 To Tuesday 2023-02-07;15400; to 16000;21,000000;35;From_15400 To_16000
Wednesday 2023-02-08 To Tuesday 2023-02-14;15400; to 16000;29,000000;48;From_15400 To_16000
Wednesday 2023-02-01 To Tuesday 2023-02-07;16000; to 16600;14,000000;24;From_16000 To_16600
Wednesday 2023-02-08 To Tuesday 2023-02-14;16000; to 16600;33,000000;55;From_16000 To_16600
Wednesday 2023-02-08 To Tuesday 2023-02-14;16600; to 17200;12,000000;20;From_16600 To_17200
Wednesday 2023-02-01 To Tuesday 2023-02-07;16600; to 17200;16,000000;27;From_16600 To_17200
Wednesday 2023-02-08 To Tuesday 2023-02-14;17200; to 17800;1,000000;1;From_17200 To_17800
Wednesday 2023-02-01 To Tuesday 2023-02-07;17200; to 17800;14,000000;23;From_17200 To_17800
Wednesday 2023-02-01 To Tuesday 2023-02-07;17800; to 18400;6,000000;10;From_17800 To_18400
Wednesday 2023-02-01 To Tuesday 2023-02-07;18400; to 19000;1,000000;2;From_18400 To_19000
