Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2023-24;Total Energy;38199;105541;176901;327953
2022-23;Total Energy;1514428;4919985;10378323;17066433
 All Time Maximum;Annual Energy;1670540;5094406;10378323;17066433
