Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2023-01-03 To Monday 2023-01-09;15200; to 15600;1,000000;1;From_15200 To_15600
Tuesday 2023-01-10 To Monday 2023-01-16;15200; to 15600;2,000000;3;From_15200 To_15600
Tuesday 2023-01-10 To Monday 2023-01-16;15600; to 16000;11,000000;19;From_15600 To_16000
Tuesday 2023-01-03 To Monday 2023-01-09;16000; to 16400;10,000000;16;From_16000 To_16400
Tuesday 2023-01-10 To Monday 2023-01-16;16000; to 16400;15,000000;26;From_16000 To_16400
Tuesday 2023-01-03 To Monday 2023-01-09;16400; to 16800;17,000000;29;From_16400 To_16800
Tuesday 2023-01-10 To Monday 2023-01-16;16400; to 16800;28,000000;47;From_16400 To_16800
Tuesday 2023-01-10 To Monday 2023-01-16;16800; to 17200;17,000000;28;From_16800 To_17200
Tuesday 2023-01-03 To Monday 2023-01-09;16800; to 17200;26,000000;44;From_16800 To_17200
Tuesday 2023-01-10 To Monday 2023-01-16;17200; to 17600;14,000000;24;From_17200 To_17600
Tuesday 2023-01-03 To Monday 2023-01-09;17200; to 17600;19,000000;32;From_17200 To_17600
Tuesday 2023-01-10 To Monday 2023-01-16;17600; to 18000;11,000000;18;From_17600 To_18000
Tuesday 2023-01-03 To Monday 2023-01-09;17600; to 18000;15,000000;26;From_17600 To_18000
Tuesday 2023-01-10 To Monday 2023-01-16;18000; to 18400;2,000000;3;From_18000 To_18400
Tuesday 2023-01-03 To Monday 2023-01-09;18000; to 18400;11,000000;18;From_18000 To_18400
Tuesday 2023-01-03 To Monday 2023-01-09;18400; to 18800;1,000000;2;From_18400 To_18800
