Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2023-03-16 To Wednesday 2023-03-22;11800; to 12600;2,000000;3;From_11800 To_12600
Thursday 2023-03-16 To Wednesday 2023-03-22;12600; to 13400;5,000000;9;From_12600 To_13400
Thursday 2023-03-09 To Wednesday 2023-03-15;13400; to 14200;4,000000;7;From_13400 To_14200
Thursday 2023-03-16 To Wednesday 2023-03-22;13400; to 14200;13,000000;22;From_13400 To_14200
Thursday 2023-03-16 To Wednesday 2023-03-22;14200; to 15000;19,000000;32;From_14200 To_15000
Thursday 2023-03-09 To Wednesday 2023-03-15;14200; to 15000;20,000000;34;From_14200 To_15000
Thursday 2023-03-16 To Wednesday 2023-03-22;15000; to 15800;4,000000;6;From_15000 To_15800
Thursday 2023-03-09 To Wednesday 2023-03-15;15000; to 15800;20,000000;34;From_15000 To_15800
Thursday 2023-03-09 To Wednesday 2023-03-15;15800; to 16600;21,000000;36;From_15800 To_16600
Thursday 2023-03-09 To Wednesday 2023-03-15;16600; to 17400;23,000000;38;From_16600 To_17400
Thursday 2023-03-09 To Wednesday 2023-03-15;17400; to 18200;7,000000;12;From_17400 To_18200
Thursday 2023-03-09 To Wednesday 2023-03-15;18200; to 19000;4,000000;7;From_18200 To_19000
