Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2023-02-07 To Monday 2023-02-13;14800; to 15600;22,000000;37;From_14800 To_15600
Tuesday 2023-02-14 To Monday 2023-02-20;15600; to 16400;4,000000;7;From_15600 To_16400
Tuesday 2023-02-07 To Monday 2023-02-13;15600; to 16400;51,000000;85;From_15600 To_16400
Tuesday 2023-02-14 To Monday 2023-02-20;16400; to 17200;24,000000;41;From_16400 To_17200
Tuesday 2023-02-07 To Monday 2023-02-13;16400; to 17200;24,000000;40;From_16400 To_17200
Tuesday 2023-02-07 To Monday 2023-02-13;17200; to 18000;4,000000;6;From_17200 To_18000
Tuesday 2023-02-14 To Monday 2023-02-20;17200; to 18000;23,000000;39;From_17200 To_18000
Tuesday 2023-02-14 To Monday 2023-02-20;18000; to 18800;6,000000;10;From_18000 To_18800
Tuesday 2023-02-14 To Monday 2023-02-20;18800; to 19600;14,000000;24;From_18800 To_19600
Tuesday 2023-02-14 To Monday 2023-02-20;19600; to 20400;10,000000;16;From_19600 To_20400
Tuesday 2023-02-14 To Monday 2023-02-20;20400; to 21200;3,000000;5;From_20400 To_21200
Tuesday 2023-02-14 To Monday 2023-02-20;21200; to 22000;1,000000;2;From_21200 To_22000
