Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-12-26 To Sunday 2023-01-01;14000; to 14500;5,000000;9;From_14000 To_14500
Monday 2022-12-26 To Sunday 2023-01-01;14500; to 15000;5,000000;8;From_14500 To_15000
Monday 2023-01-02 To Sunday 2023-01-08;15000; to 15500;7,000000;11;From_15000 To_15500
Monday 2022-12-26 To Sunday 2023-01-01;15000; to 15500;16,000000;27;From_15000 To_15500
Monday 2023-01-02 To Sunday 2023-01-08;15500; to 16000;2,000000;4;From_15500 To_16000
Monday 2022-12-26 To Sunday 2023-01-01;15500; to 16000;21,000000;36;From_15500 To_16000
Monday 2023-01-02 To Sunday 2023-01-08;16000; to 16500;11,000000;18;From_16000 To_16500
Monday 2022-12-26 To Sunday 2023-01-01;16000; to 16500;23,000000;39;From_16000 To_16500
Monday 2022-12-26 To Sunday 2023-01-01;16500; to 17000;18,000000;31;From_16500 To_17000
Monday 2023-01-02 To Sunday 2023-01-08;16500; to 17000;26,000000;43;From_16500 To_17000
Monday 2022-12-26 To Sunday 2023-01-01;17000; to 17500;8,000000;14;From_17000 To_17500
Monday 2023-01-02 To Sunday 2023-01-08;17000; to 17500;24,000000;41;From_17000 To_17500
Monday 2022-12-26 To Sunday 2023-01-01;17500; to 18000;2,000000;4;From_17500 To_18000
Monday 2023-01-02 To Sunday 2023-01-08;17500; to 18000;20,000000;33;From_17500 To_18000
Monday 2023-01-02 To Sunday 2023-01-08;18000; to 18500;10,000000;17;From_18000 To_18500
Monday 2023-01-02 To Sunday 2023-01-08;18500; to 19000;1,000000;1;From_18500 To_19000
