DateTimeKey;Date Time Hour Beginning;Hourly UCLF+OCLF
2023-01-13 11:00:00;2023-01-13 11:00:00;15779,099
2023-01-13 12:00:00;2023-01-13 12:00:00;16510,310000000001
2023-01-13 13:00:00;2023-01-13 13:00:00;17138,547999999999
2023-01-13 14:00:00;2023-01-13 14:00:00;17179,294999999998
2023-01-13 15:00:00;2023-01-13 15:00:00;17115,918000000001
2023-01-13 16:00:00;2023-01-13 16:00:00;16710,550999999999
2023-01-13 17:00:00;2023-01-13 17:00:00;16473,907999999999
2023-01-13 18:00:00;2023-01-13 18:00:00;16010,553
2023-01-13 19:00:00;2023-01-13 19:00:00;16394,670999999998
2023-01-13 20:00:00;2023-01-13 20:00:00;16456,897000000001
2023-01-13 21:00:00;2023-01-13 21:00:00;16592,330999999998
2023-01-13 22:00:00;2023-01-13 22:00:00;16751,617999999999
2023-01-13 23:00:00;2023-01-13 23:00:00;16794,784
2023-01-14 00:00:00;2023-01-14 00:00:00;16593,075000000001
2023-01-14 01:00:00;2023-01-14 01:00:00;16506,554
2023-01-14 02:00:00;2023-01-14 02:00:00;16414,061000000002
2023-01-14 03:00:00;2023-01-14 03:00:00;16462,013999999999
2023-01-14 04:00:00;2023-01-14 04:00:00;16441,481
2023-01-14 05:00:00;2023-01-14 05:00:00;16246,248
2023-01-14 06:00:00;2023-01-14 06:00:00;16125,351000000001
2023-01-14 07:00:00;2023-01-14 07:00:00;16091,279
2023-01-14 08:00:00;2023-01-14 08:00:00;16211,897999999999
2023-01-14 09:00:00;2023-01-14 09:00:00;16499,424999999999
2023-01-14 10:00:00;2023-01-14 10:00:00;16729,163
2023-01-14 11:00:00;2023-01-14 11:00:00;17045,848000000002
2023-01-14 12:00:00;2023-01-14 12:00:00;17228,285
2023-01-14 13:00:00;2023-01-14 13:00:00;17257,669999999998
2023-01-14 14:00:00;2023-01-14 14:00:00;17256,700000000001
2023-01-14 15:00:00;2023-01-14 15:00:00;17250,391
2023-01-14 16:00:00;2023-01-14 16:00:00;17068,553
2023-01-14 17:00:00;2023-01-14 17:00:00;16991,996999999999
2023-01-14 18:00:00;2023-01-14 18:00:00;16630,512999999999
2023-01-14 19:00:00;2023-01-14 19:00:00;16232,679
2023-01-14 20:00:00;2023-01-14 20:00:00;16401,860000000001
2023-01-14 21:00:00;2023-01-14 21:00:00;16674,759999999998
2023-01-14 22:00:00;2023-01-14 22:00:00;16956,601999999999
2023-01-14 23:00:00;2023-01-14 23:00:00;17238,578000000001
2023-01-15 00:00:00;2023-01-15 00:00:00;17266,763999999999
2023-01-15 01:00:00;2023-01-15 01:00:00;17269,971000000001
2023-01-15 02:00:00;2023-01-15 02:00:00;17241,210999999999
2023-01-15 03:00:00;2023-01-15 03:00:00;17049,694
