Date_Time_Hour_Beginning;RSA Contracted Forecast;Residual Forecast
2023-03-23 05:00:00;26799,080000000002;25224,966
2023-03-23 06:00:00;28380,448;26758,358
2023-03-23 07:00:00;28161,403999999999;26088,512999999999
2023-03-23 08:00:00;28962,788;26110,374
2023-03-23 09:00:00;29002,649000000001;25608,875
2023-03-23 10:00:00;28872,182000000001;25315,830999999998
2023-03-23 11:00:00;28850,875;25216,003000000001
2023-03-23 12:00:00;28694,923999999999;25106,293000000001
2023-03-23 13:00:00;28594,912;25060,050999999999
2023-03-23 14:00:00;28872,911;25417,065999999999
2023-03-23 15:00:00;29311,698;26040,080999999998
2023-03-23 16:00:00;29861,692999999999;26721,175999999999
2023-03-23 17:00:00;29839,981;27215,879000000001
2023-03-23 18:00:00;30498,374;28284,189999999999
2023-03-23 19:00:00;30688,036;28468,812999999998
2023-03-23 20:00:00;29123,287;26852,436000000002
2023-03-23 21:00:00;26874,571;24782,994999999999
2023-03-23 22:00:00;25112,947;23231,401000000002
2023-03-23 23:00:00;23881,990000000002;22092,546999999999
2023-03-24 00:00:00;23528,657999999999;21678,241999999998
2023-03-24 01:00:00;23105,947;21276,209999999999
2023-03-24 02:00:00;23098,433000000001;21269,944
2023-03-24 03:00:00;23368,346000000001;21541,583999999999
2023-03-24 04:00:00;24478,731;22723,397000000001
2023-03-24 05:00:00;26613,887999999999;24912,268
2023-03-24 06:00:00;28145,348999999998;26461,360000000001
2023-03-24 07:00:00;28084,310000000001;26022,207999999999
2023-03-24 08:00:00;29006,296999999999;26178,701000000001
2023-03-24 09:00:00;29127,417000000001;25789,697
2023-03-24 10:00:00;29070,577000000001;25608,522000000001
2023-03-24 11:00:00;28964,507000000001;25466,34
2023-03-24 12:00:00;28654,32;25252,777999999998
2023-03-24 13:00:00;28347,719000000001;25040,038
2023-03-24 14:00:00;28422,008000000002;25216,508999999998
2023-03-24 15:00:00;28403,888999999999;25410,279999999999
2023-03-24 16:00:00;28567,188999999998;25736,957999999999
2023-03-24 17:00:00;28391,699000000001;26121,082999999999
2023-03-24 18:00:00;28693,992999999999;26930,610000000001
2023-03-24 19:00:00;28997,008000000002;27330,092000000001
2023-03-24 20:00:00;27609,235000000001;25969,142
2023-03-24 21:00:00;25813,661;24394,173999999999
2023-03-24 22:00:00;24417,867999999999;23249,096000000001
2023-03-24 23:00:00;23237,591;22172,364000000001
2023-03-25 00:00:00;22770,157999999999;21628,838
2023-03-25 01:00:00;22438,616999999998;21288,758000000002
2023-03-25 02:00:00;22342,427;21153,776999999998
2023-03-25 03:00:00;22343,305;21121,726999999999
2023-03-25 04:00:00;22645,202000000001;21451,990000000002
2023-03-25 05:00:00;23256,157999999999;22070,09
2023-03-25 06:00:00;24443,162;23235,673999999999
2023-03-25 07:00:00;26039,667000000001;24431,955999999998
2023-03-25 08:00:00;27569,914000000001;25169,016
2023-03-25 09:00:00;27937,710999999999;24991,833999999999
2023-03-25 10:00:00;27740,813999999998;24627,449000000001
2023-03-25 11:00:00;27451,828000000001;24268,677
2023-03-25 12:00:00;27237,77;24079,799999999999
2023-03-25 13:00:00;26894,170999999998;23773,142
2023-03-25 14:00:00;26545,655999999999;23489,493999999999
2023-03-25 15:00:00;26419,956999999999;23561,753000000001
2023-03-25 16:00:00;26789,035;24079,064999999999
2023-03-25 17:00:00;26879,469000000001;24681,748
2023-03-25 18:00:00;27696,434000000001;25960,116000000002
2023-03-25 19:00:00;28084,156999999999;26446,082999999999
2023-03-25 20:00:00;26691,749;25085,846000000001
2023-03-25 21:00:00;24914,708999999999;23508,310000000001
2023-03-25 22:00:00;23557,473000000002;22382,121999999999
2023-03-25 23:00:00;22414,400000000001;21340,769
2023-03-26 00:00:00;21769,725999999999;20590,105
2023-03-26 01:00:00;21395,060000000001;20215,937999999998
2023-03-26 02:00:00;21241,829000000002;20034,194
2023-03-26 03:00:00;21246,710999999999;19995,956999999999
2023-03-26 04:00:00;21518,561000000002;20292,437000000002
2023-03-26 05:00:00;21904,581999999999;20679,127
2023-03-26 06:00:00;23062,188999999998;21797,437999999998
2023-03-26 07:00:00;25082,213;23405,038
2023-03-26 08:00:00;26816,347000000002;24330,638999999999
2023-03-26 09:00:00;27284,014999999999;24292,718000000001
2023-03-26 10:00:00;27095,929;23956,396000000001
2023-03-26 11:00:00;26905,969000000001;23698,151000000002
2023-03-26 12:00:00;26645,334999999999;23488,173999999999
2023-03-26 13:00:00;26284,757000000001;23180,522000000001
2023-03-26 14:00:00;25998,192999999999;22969,702000000001
2023-03-26 15:00:00;25969,221000000001;23139,864000000001
2023-03-26 16:00:00;26497,523000000001;23821,871999999999
2023-03-26 17:00:00;26665,049999999999;24532,244999999999
2023-03-26 18:00:00;27691,312000000002;26047,862000000001
2023-03-26 19:00:00;28087,527999999998;26556,752
2023-03-26 20:00:00;26733,537;25247,526999999998
2023-03-26 21:00:00;24750,787;23443,814999999999
2023-03-26 22:00:00;23108,371999999999;22011,145
2023-03-26 23:00:00;21968,727999999999;20940,095000000001
2023-03-27 00:00:00;21223,132000000001;20152,138999999999
2023-03-27 01:00:00;20821,398000000001;19798,388999999999
2023-03-27 02:00:00;20703,474999999999;19722,98
2023-03-27 03:00:00;20840,300999999999;19875,706999999999
2023-03-27 04:00:00;21884,036;20946,663
2023-03-27 05:00:00;23394,248;22475,293000000001
2023-03-27 06:00:00;25020,630000000001;24088,509999999998
2023-03-27 07:00:00;26381,618999999999;25125,259999999998
2023-03-27 08:00:00;27760,916000000001;25939,298999999999
2023-03-27 09:00:00;28263,726999999999;25968,094000000001
2023-03-27 10:00:00;28547,306;25985,545999999998
2023-03-27 11:00:00;28442,944;25752,506000000001
2023-03-27 12:00:00;28267,198;25547,136999999999
2023-03-27 13:00:00;28289,773000000001;25584,181
2023-03-27 14:00:00;28318,423999999999;25645,061000000002
2023-03-27 15:00:00;28492,913;25910,955000000002
2023-03-27 16:00:00;28847,006000000001;26471,206999999999
2023-03-27 17:00:00;29067,503000000001;27047,287
2023-03-27 18:00:00;30212,368999999999;28565,029999999999
2023-03-27 19:00:00;29877,359;28309,394
2023-03-27 20:00:00;27792,923999999999;26289,365000000002
2023-03-27 21:00:00;25748,928;24364,713
2023-03-27 22:00:00;24059,384999999998;22847,177
2023-03-27 23:00:00;23004,467000000001;21871,514999999999
2023-03-28 00:00:00;22048,68;20977,687000000002
2023-03-28 01:00:00;21764,536;20741,526000000002
2023-03-28 02:00:00;21581,882000000001;20601,386999999999
2023-03-28 03:00:00;21750,919000000002;20786,325000000001
2023-03-28 04:00:00;22615,297999999999;21677,924999999999
2023-03-28 05:00:00;24232,249;23313,294000000002
2023-03-28 06:00:00;25761,434000000001;24829,314999999999
2023-03-28 07:00:00;27050,817999999999;25794,458999999999
2023-03-28 08:00:00;27981,052;26159,436000000002
2023-03-28 09:00:00;28247,347000000002;25951,715
2023-03-28 10:00:00;28219,185000000001;25657,424999999999
2023-03-28 11:00:00;28268,838;25578,399000000001
2023-03-28 12:00:00;28163,367999999999;25443,306
2023-03-28 13:00:00;28094,812000000002;25389,221000000001
2023-03-28 14:00:00;28248,075000000001;25574,712
2023-03-28 15:00:00;28516,129000000001;25934,170999999998
2023-03-28 16:00:00;28921,239000000001;26545,439999999999
2023-03-28 17:00:00;29085,523000000001;27065,306
2023-03-28 18:00:00;30158,142;28510,803
2023-03-28 19:00:00;29690,707999999999;28122,742999999999
2023-03-28 20:00:00;27630,915000000001;26127,356
2023-03-28 21:00:00;25713,823;24329,607
2023-03-28 22:00:00;24113,987000000001;22901,778999999999
2023-03-28 23:00:00;22935,911;21802,958999999999
2023-03-29 00:00:00;22405,958999999999;21334,966
2023-03-29 01:00:00;21931,994999999999;20908,985000000001
2023-03-29 02:00:00;21792,866000000002;20812,370999999999
2023-03-29 03:00:00;21861,182000000001;20896,588
2023-03-29 04:00:00;22870,455999999998;21933,082999999999
2023-03-29 05:00:00;24513,037;23594,081999999999
2023-03-29 06:00:00;25904,452000000001;24972,331999999999
2023-03-29 07:00:00;27114,398000000001;25858,040000000001
2023-03-29 08:00:00;28158,595000000001;26336,977999999999
2023-03-29 09:00:00;28301,005000000001;26005,371999999999
2023-03-29 10:00:00;28405,598999999998;25843,839
2023-03-29 11:00:00;28453,017;25762,578000000001
2023-03-29 12:00:00;28217,560000000001;25497,499
2023-03-29 13:00:00;28071,779999999999;25366,188999999998
2023-03-29 14:00:00;28268,701000000001;25595,338
2023-03-29 15:00:00;28473,700000000001;25891,742999999999
2023-03-29 16:00:00;28816,322;26440,524000000001
2023-03-29 17:00:00;28951,313999999998;26931,098000000002
2023-03-29 18:00:00;30100,240000000002;28452,901000000002
2023-03-29 19:00:00;29734,595000000001;28166,630000000001
2023-03-29 20:00:00;27791,659;26288,098999999998
2023-03-29 21:00:00;25701,002;24316,787
2023-03-29 22:00:00;24037,804;22825,595000000001
2023-03-29 23:00:00;22951,724999999999;21818,774000000001
2023-03-30 00:00:00;22302,885999999999;21231,893
2023-03-30 01:00:00;21874,381000000001;20851,370999999999
