Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2023-04-10 To Sunday 2023-04-16;14200; to 14600;1,000000;2;From_14200 To_14600
Monday 2023-04-03 To Sunday 2023-04-09;14200; to 14600;2,000000;3;From_14200 To_14600
Monday 2023-04-10 To Sunday 2023-04-16;14600; to 15000;2,000000;4;From_14600 To_15000
Monday 2023-04-03 To Sunday 2023-04-09;14600; to 15000;13,000000;22;From_14600 To_15000
Monday 2023-04-10 To Sunday 2023-04-16;15000; to 15400;8,000000;13;From_15000 To_15400
Monday 2023-04-03 To Sunday 2023-04-09;15000; to 15400;27,000000;45;From_15000 To_15400
Monday 2023-04-10 To Sunday 2023-04-16;15400; to 15800;5,000000;8;From_15400 To_15800
Monday 2023-04-03 To Sunday 2023-04-09;15400; to 15800;15,000000;26;From_15400 To_15800
Monday 2023-04-10 To Sunday 2023-04-16;15800; to 16200;8,000000;14;From_15800 To_16200
Monday 2023-04-03 To Sunday 2023-04-09;15800; to 16200;10,000000;16;From_15800 To_16200
Monday 2023-04-10 To Sunday 2023-04-16;16200; to 16600;5,000000;9;From_16200 To_16600
Monday 2023-04-03 To Sunday 2023-04-09;16200; to 16600;14,000000;24;From_16200 To_16600
Monday 2023-04-10 To Sunday 2023-04-16;16600; to 17000;7,000000;12;From_16600 To_17000
Monday 2023-04-03 To Sunday 2023-04-09;16600; to 17000;14,000000;23;From_16600 To_17000
Monday 2023-04-10 To Sunday 2023-04-16;17000; to 17400;2,000000;4;From_17000 To_17400
Monday 2023-04-03 To Sunday 2023-04-09;17000; to 17400;5,000000;9;From_17000 To_17400
Monday 2023-04-10 To Sunday 2023-04-16;17400; to 17800;4,000000;6;From_17400 To_17800
