Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2023-24;Total Energy;12926;40216;73633;129265
2022-23;Total Energy;1514503;4919882;10378551;17069273
 All Time Maximum;Annual Energy;1670540;5094406;10378551;17069273
