Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2022-12-25 To Saturday 2022-12-31;14000; to 14500;5,000000;9;From_14000 To_14500
Sunday 2023-01-01 To Saturday 2023-01-07;14500; to 15000;3,000000;5;From_14500 To_15000
Sunday 2022-12-25 To Saturday 2022-12-31;14500; to 15000;4,000000;6;From_14500 To_15000
Sunday 2022-12-25 To Saturday 2022-12-31;15000; to 15500;12,000000;20;From_15000 To_15500
Sunday 2023-01-01 To Saturday 2023-01-07;15000; to 15500;13,000000;21;From_15000 To_15500
Sunday 2023-01-01 To Saturday 2023-01-07;15500; to 16000;6,000000;10;From_15500 To_16000
Sunday 2022-12-25 To Saturday 2022-12-31;15500; to 16000;23,000000;39;From_15500 To_16000
Sunday 2023-01-01 To Saturday 2023-01-07;16000; to 16500;10,000000;17;From_16000 To_16500
Sunday 2022-12-25 To Saturday 2022-12-31;16000; to 16500;27,000000;46;From_16000 To_16500
Sunday 2022-12-25 To Saturday 2022-12-31;16500; to 17000;18,000000;30;From_16500 To_17000
Sunday 2023-01-01 To Saturday 2023-01-07;16500; to 17000;24,000000;40;From_16500 To_17000
Sunday 2022-12-25 To Saturday 2022-12-31;17000; to 17500;8,000000;14;From_17000 To_17500
Sunday 2023-01-01 To Saturday 2023-01-07;17000; to 17500;21,000000;36;From_17000 To_17500
Sunday 2022-12-25 To Saturday 2022-12-31;17500; to 18000;2,000000;4;From_17500 To_18000
Sunday 2023-01-01 To Saturday 2023-01-07;17500; to 18000;17,000000;28;From_17500 To_18000
Sunday 2023-01-01 To Saturday 2023-01-07;18000; to 18500;6,000000;10;From_18000 To_18500
Sunday 2023-01-01 To Saturday 2023-01-07;18500; to 19000;1,000000;1;From_18500 To_19000
