Date_Time_Hour_Beginning;Date;DateKey;Time;DateTimeKey;Current_Installed_Capacity_MW;Current_Installed_Capacity_MW_DESC;Last_Refresh_Date
2023-03-19 23:00:00;19-Mar-2023;2023-03-19;23:00;2023-03-19 23:00:00;;CSP;Station Build-Up Prev Day Last Refresh Date : 2023-03-19
2023-03-19 23:00:00;19-Mar-2023;2023-03-19;23:00;2023-03-19 23:00:00;;PV;Station Build-Up Prev Day Last Refresh Date : 2023-03-19
2023-03-19 23:00:00;19-Mar-2023;2023-03-19;23:00;2023-03-19 23:00:00;;Total (Incl other REs);Station Build-Up Prev Day Last Refresh Date : 2023-03-19
2023-03-19 23:00:00;19-Mar-2023;2023-03-19;23:00;2023-03-19 23:00:00;;Wind (Eskom+IPP);Station Build-Up Prev Day Last Refresh Date : 2023-03-19
