Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-12-31 To Friday 2023-01-06;14500; to 15000;3,000000;5;From_14500 To_15000
Saturday 2023-01-07 To Friday 2023-01-13;15000; to 15500;2,000000;4;From_15000 To_15500
Saturday 2022-12-31 To Friday 2023-01-06;15000; to 15500;13,000000;21;From_15000 To_15500
Saturday 2022-12-31 To Friday 2023-01-06;15500; to 16000;7,000000;12;From_15500 To_16000
Saturday 2023-01-07 To Friday 2023-01-13;15500; to 16000;9,000000;15;From_15500 To_16000
Saturday 2022-12-31 To Friday 2023-01-06;16000; to 16500;11,000000;19;From_16000 To_16500
Saturday 2023-01-07 To Friday 2023-01-13;16000; to 16500;22,000000;37;From_16000 To_16500
Saturday 2022-12-31 To Friday 2023-01-06;16500; to 17000;19,000000;32;From_16500 To_17000
Saturday 2023-01-07 To Friday 2023-01-13;16500; to 17000;27,000000;45;From_16500 To_17000
Saturday 2022-12-31 To Friday 2023-01-06;17000; to 17500;17,000000;29;From_17000 To_17500
Saturday 2023-01-07 To Friday 2023-01-13;17000; to 17500;24,000000;40;From_17000 To_17500
Saturday 2023-01-07 To Friday 2023-01-13;17500; to 18000;14,000000;24;From_17500 To_18000
Saturday 2022-12-31 To Friday 2023-01-06;17500; to 18000;19,000000;32;From_17500 To_18000
Saturday 2023-01-07 To Friday 2023-01-13;18000; to 18500;2,000000;3;From_18000 To_18500
Saturday 2022-12-31 To Friday 2023-01-06;18000; to 18500;11,000000;18;From_18000 To_18500
