Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2023-03-15 To Tuesday 2023-03-21;11800; to 12600;2,000000;3;From_11800 To_12600
Wednesday 2023-03-15 To Tuesday 2023-03-21;12600; to 13400;5,000000;9;From_12600 To_13400
Wednesday 2023-03-08 To Tuesday 2023-03-14;13400; to 14200;1,000000;1;From_13400 To_14200
Wednesday 2023-03-15 To Tuesday 2023-03-21;13400; to 14200;17,000000;28;From_13400 To_14200
Wednesday 2023-03-08 To Tuesday 2023-03-14;14200; to 15000;10,000000;16;From_14200 To_15000
Wednesday 2023-03-15 To Tuesday 2023-03-21;14200; to 15000;30,000000;50;From_14200 To_15000
Wednesday 2023-03-15 To Tuesday 2023-03-21;15000; to 15800;4,000000;6;From_15000 To_15800
Wednesday 2023-03-08 To Tuesday 2023-03-14;15000; to 15800;20,000000;34;From_15000 To_15800
Wednesday 2023-03-08 To Tuesday 2023-03-14;15800; to 16600;21,000000;36;From_15800 To_16600
Wednesday 2023-03-08 To Tuesday 2023-03-14;16600; to 17400;24,000000;41;From_16600 To_17400
Wednesday 2023-03-08 To Tuesday 2023-03-14;17400; to 18200;13,000000;21;From_17400 To_18200
Wednesday 2023-03-08 To Tuesday 2023-03-14;18200; to 19000;11,000000;19;From_18200 To_19000
