Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2022-11-04 To Thursday 2022-11-10;12600; to 13200;1,000000;2;From_12600 To_13200
Friday 2022-11-11 To Thursday 2022-11-17;13200; to 13800;2,000000;3;From_13200 To_13800
Friday 2022-11-04 To Thursday 2022-11-10;13200; to 13800;8,000000;13;From_13200 To_13800
Friday 2022-11-11 To Thursday 2022-11-17;13800; to 14400;11,000000;18;From_13800 To_14400
Friday 2022-11-04 To Thursday 2022-11-10;13800; to 14400;17,000000;28;From_13800 To_14400
Friday 2022-11-11 To Thursday 2022-11-17;14400; to 15000;15,000000;26;From_14400 To_15000
Friday 2022-11-04 To Thursday 2022-11-10;14400; to 15000;32,000000;53;From_14400 To_15000
Friday 2022-11-04 To Thursday 2022-11-10;15000; to 15600;18,000000;31;From_15000 To_15600
Friday 2022-11-11 To Thursday 2022-11-17;15000; to 15600;18,000000;31;From_15000 To_15600
Friday 2022-11-04 To Thursday 2022-11-10;15600; to 16200;9,000000;15;From_15600 To_16200
Friday 2022-11-11 To Thursday 2022-11-17;15600; to 16200;21,000000;36;From_15600 To_16200
Friday 2022-11-04 To Thursday 2022-11-10;16200; to 16800;15,000000;25;From_16200 To_16800
Friday 2022-11-11 To Thursday 2022-11-17;16200; to 16800;17,000000;28;From_16200 To_16800
Friday 2022-11-04 To Thursday 2022-11-10;16800; to 17400;1,000000;1;From_16800 To_17400
Friday 2022-11-11 To Thursday 2022-11-17;16800; to 17400;14,000000;23;From_16800 To_17400
Friday 2022-11-11 To Thursday 2022-11-17;17400; to 18000;2,000000;3;From_17400 To_18000
