Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2023-01-24 To Monday 2023-01-30;14000; to 14500;2,000000;4;From_14000 To_14500
Tuesday 2023-01-17 To Monday 2023-01-23;14000; to 14500;2,000000;3;From_14000 To_14500
Tuesday 2023-01-17 To Monday 2023-01-23;14500; to 15000;8,000000;13;From_14500 To_15000
Tuesday 2023-01-24 To Monday 2023-01-30;14500; to 15000;17,000000;28;From_14500 To_15000
Tuesday 2023-01-24 To Monday 2023-01-30;15000; to 15500;18,000000;31;From_15000 To_15500
Tuesday 2023-01-17 To Monday 2023-01-23;15000; to 15500;27,000000;46;From_15000 To_15500
Tuesday 2023-01-24 To Monday 2023-01-30;15500; to 16000;19,000000;32;From_15500 To_16000
Tuesday 2023-01-17 To Monday 2023-01-23;15500; to 16000;29,000000;49;From_15500 To_16000
Tuesday 2023-01-24 To Monday 2023-01-30;16000; to 16500;13,000000;22;From_16000 To_16500
Tuesday 2023-01-17 To Monday 2023-01-23;16000; to 16500;21,000000;35;From_16000 To_16500
Tuesday 2023-01-24 To Monday 2023-01-30;16500; to 17000;5,000000;9;From_16500 To_17000
Tuesday 2023-01-17 To Monday 2023-01-23;16500; to 17000;11,000000;18;From_16500 To_17000
Tuesday 2023-01-17 To Monday 2023-01-23;17000; to 17500;2,000000;4;From_17000 To_17500
Tuesday 2023-01-24 To Monday 2023-01-30;17000; to 17500;7,000000;12;From_17000 To_17500
Tuesday 2023-01-24 To Monday 2023-01-30;17500; to 18000;4,000000;6;From_17500 To_18000
