Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2022-10-25 To Monday 2022-10-31;12500; to 13000;1,000000;2;From_12500 To_13000
Tuesday 2022-11-01 To Monday 2022-11-07;12500; to 13000;1,000000;1;From_12500 To_13000
Tuesday 2022-11-01 To Monday 2022-11-07;13000; to 13500;11,000000;18;From_13000 To_13500
Tuesday 2022-10-25 To Monday 2022-10-31;13000; to 13500;15,000000;25;From_13000 To_13500
Tuesday 2022-11-01 To Monday 2022-11-07;13500; to 14000;14,000000;24;From_13500 To_14000
Tuesday 2022-10-25 To Monday 2022-10-31;13500; to 14000;16,000000;27;From_13500 To_14000
Tuesday 2022-10-25 To Monday 2022-10-31;14000; to 14500;19,000000;32;From_14000 To_14500
Tuesday 2022-11-01 To Monday 2022-11-07;14000; to 14500;35,000000;58;From_14000 To_14500
Tuesday 2022-10-25 To Monday 2022-10-31;14500; to 15000;11,000000;18;From_14500 To_15000
Tuesday 2022-11-01 To Monday 2022-11-07;14500; to 15000;15,000000;25;From_14500 To_15000
Tuesday 2022-10-25 To Monday 2022-10-31;15000; to 15500;15,000000;25;From_15000 To_15500
Tuesday 2022-11-01 To Monday 2022-11-07;15000; to 15500;15,000000;26;From_15000 To_15500
Tuesday 2022-11-01 To Monday 2022-11-07;15500; to 16000;7,000000;12;From_15500 To_16000
Tuesday 2022-10-25 To Monday 2022-10-31;15500; to 16000;12,000000;20;From_15500 To_16000
Tuesday 2022-11-01 To Monday 2022-11-07;16000; to 16500;2,000000;4;From_16000 To_16500
Tuesday 2022-10-25 To Monday 2022-10-31;16000; to 16500;5,000000;9;From_16000 To_16500
Tuesday 2022-10-25 To Monday 2022-10-31;16500; to 17000;6,000000;10;From_16500 To_17000
