Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2023-03-14 To Monday 2023-03-20;11800; to 12600;2,000000;3;From_11800 To_12600
Tuesday 2023-03-14 To Monday 2023-03-20;12600; to 13400;5,000000;9;From_12600 To_13400
Tuesday 2023-03-14 To Monday 2023-03-20;13400; to 14200;17,000000;29;From_13400 To_14200
Tuesday 2023-03-07 To Monday 2023-03-13;14200; to 15000;4,000000;6;From_14200 To_15000
Tuesday 2023-03-14 To Monday 2023-03-20;14200; to 15000;36,000000;60;From_14200 To_15000
Tuesday 2023-03-14 To Monday 2023-03-20;15000; to 15800;11,000000;19;From_15000 To_15800
Tuesday 2023-03-07 To Monday 2023-03-13;15000; to 15800;13,000000;21;From_15000 To_15800
Tuesday 2023-03-07 To Monday 2023-03-13;15800; to 16600;21,000000;36;From_15800 To_16600
Tuesday 2023-03-07 To Monday 2023-03-13;16600; to 17400;24,000000;41;From_16600 To_17400
Tuesday 2023-03-07 To Monday 2023-03-13;17400; to 18200;13,000000;22;From_17400 To_18200
Tuesday 2023-03-07 To Monday 2023-03-13;18200; to 19000;23,000000;39;From_18200 To_19000
Tuesday 2023-03-07 To Monday 2023-03-13;19000; to 19800;2,000000;3;From_19000 To_19800
