DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2023-04-28 00:00:00,,,20912.116000000002,21599.460999999999
2023-04-28 01:00:00,,,20690.288,21170.07
2023-04-28 02:00:00,,,20854.050999999999,21218.766
2023-04-28 03:00:00,,,20962.484,21257.737000000001
2023-04-28 04:00:00,,,21866.232,22163.909
2023-04-28 05:00:00,,,23151.748,23481.651999999998
2023-04-28 06:00:00,,,24607.695,24986.462
2023-04-28 07:00:00,,,25868.52,26532.355
2023-04-28 08:00:00,,,26174.703000000001,27697.348000000002
2023-04-28 09:00:00,,,25995.419999999998,28061.514999999999
2023-04-28 10:00:00,,,25578.883999999998,28069.237000000001
2023-04-28 11:00:00,,,25020.156999999999,27841.195
2023-04-28 12:00:00,,,24619.629000000001,27594.655999999999
2023-04-28 13:00:00,,,24242.088,27272.594000000001
2023-04-28 14:00:00,,,24237.016,27194.814999999999
2023-04-28 15:00:00,,,24085.782999999999,27142.120999999999
2023-04-28 16:00:00,,,25290.385999999999,27826.905999999999
2023-04-28 17:00:00,,,26915.044999999998,28780.244999999999
2023-04-28 18:00:00,,,28071.507000000001,29640.109
2023-04-28 19:00:00,,,26725.880000000001,28160.614000000001
2023-04-28 20:00:00,,,25219.380000000001,26563.358
2023-04-28 21:00:00,,,23866.941999999999,25022.435000000001
2023-04-28 22:00:00,,,22689.424999999999,23521.168000000001
2023-04-28 23:00:00,,,21401.544000000002,22134.170999999998
2023-04-29 00:00:00,,,20973.067999999999,21674.330000000002
2023-04-29 01:00:00,,,20558.118999999999,21224.988000000001
2023-04-29 02:00:00,,,20601.567999999999,21288.847000000002
2023-04-29 03:00:00,,,20398.848999999998,21110.062000000002
2023-04-29 04:00:00,,,21041.34,21603.794999999998
2023-04-29 05:00:00,,,21608.896000000001,22150.513999999999
2023-04-29 06:00:00,,,22873.469000000001,23380.602999999999
2023-04-29 07:00:00,,,24657.812000000002,25413.959999999999
2023-04-29 08:00:00,,,25278.449000000001,26795.151000000002
2023-04-29 09:00:00,,,24616.465,26839.388999999999
2023-04-29 10:00:00,,,24194.526999999998,26747.987000000001
2023-04-29 11:00:00,,,23646.098000000002,26364.133000000002
2023-04-29 12:00:00,,,23379.113000000001,26171.918000000001
2023-04-29 13:00:00,,,22871.361000000001,25794.931
2023-04-29 14:00:00,,,22365.478999999999,25401.885999999999
2023-04-29 15:00:00,,,22469.731,25434.475999999999
2023-04-29 16:00:00,,,23556.5,26107.800999999999
2023-04-29 17:00:00,,,25122.477999999999,27077.356
2023-04-29 18:00:00,,,26854.530999999999,28547.059000000001
2023-04-29 19:00:00,,,25794.302,27511.633000000002
2023-04-29 20:00:00,,,24311.848000000002,26046.213
2023-04-29 21:00:00,,,22951.960999999999,24459.252
2023-04-29 22:00:00,,,21805.955999999998,23062.644
2023-04-29 23:00:00,,,20684.578000000001,21924.186000000002
2023-04-30 00:00:00,,,20433.708999999999,21775.169999999998
2023-04-30 01:00:00,,,20293.019,21567.557000000001
2023-04-30 02:00:00,,,19024.716,20253.219000000001
2023-04-30 03:00:00,,,19099.398000000001,20265.208999999999
2023-04-30 04:00:00,,,19521.921999999999,20567.562999999998
2023-04-30 05:00:00,,,20199.866000000002,21269.110000000001
2023-04-30 06:00:00,,,21480.455999999998,22517.614000000001
2023-04-30 07:00:00,,,23193.689999999999,24482.453000000001
2023-04-30 08:00:00,,,24053.178,26047.651000000002
2023-04-30 09:00:00,,,24100.312000000002,26430.835999999999
2023-04-30 10:00:00,,,23552.253000000001,25912.085999999999
2023-04-30 11:00:00,,,23164.505000000001,25511.839
2023-04-30 12:00:00,,,22830.629000000001,25376.136999999999
2023-04-30 13:00:00,,,22434.766,25210.911
2023-04-30 14:00:00,,,22233.073,24978.214
2023-04-30 15:00:00,,,22447.312000000002,25084.192999999999
2023-04-30 16:00:00,,,23289.215,25784.235000000001
2023-04-30 17:00:00,,,25190.789000000001,26923.842000000001
2023-04-30 18:00:00,,,26977.034,28422.419000000002
2023-04-30 19:00:00,,,25911.205999999998,27287.646000000001
2023-04-30 20:00:00,,,24397.021000000001,25537.388999999999
2023-04-30 21:00:00,,,22976.599999999999,23886.691999999999
2023-04-30 22:00:00,,,21815.68,22426.773000000001
2023-04-30 23:00:00,,,20710.832999999999,21265.723999999998
2023-05-01 00:00:00,,,20412.073,20873.334999999999
2023-05-01 01:00:00,,,20310.150000000001,20743.445
2023-05-01 02:00:00,,,20252.948,20685.883999999998
2023-05-01 03:00:00,,,20001.529999999999,20492.393
2023-05-01 04:00:00,,,20502.839,21000.782999999999
2023-05-01 05:00:00,,,20116.808000000001,20696.847000000002
2023-05-01 06:00:00,,,21440.123,22102.706999999999
2023-05-01 07:00:00,,,23148.060000000001,24020.802
2023-05-01 08:00:00,,,24193.103999999999,25714.209999999999
2023-05-01 09:00:00,,,24524.378000000001,26520.993999999999
2023-05-01 10:00:00,,,24527.464,26770.344000000001
2023-05-01 11:00:00,,,23583.191999999999,25943.531999999999
2023-05-01 12:00:00,,,23174.309000000001,25602.726999999999
2023-05-01 13:00:00,,,22685.240000000002,25320.927
2023-05-01 14:00:00,,,22550.859,25153.738000000001
2023-05-01 15:00:00,,,23131.766,25592.041000000001
2023-05-01 16:00:00,,,24824.424999999999,27073.955000000002
2023-05-01 17:00:00,,,26934.136999999999,28567.148000000001
2023-05-01 18:00:00,,,28551.549999999999,29926.374
2023-05-01 19:00:00,,,27213.034,28490.427
2023-05-01 20:00:00,,,25620.823,26723.198
