Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2023-03-03 To Thursday 2023-03-09;14600; to 15200;1,000000;2;From_14600 To_15200
Friday 2023-03-03 To Thursday 2023-03-09;15200; to 15800;14,000000;24;From_15200 To_15800
Friday 2023-02-24 To Thursday 2023-03-02;15800; to 16400;5,000000;8;From_15800 To_16400
Friday 2023-03-03 To Thursday 2023-03-09;15800; to 16400;14,000000;23;From_15800 To_16400
Friday 2023-03-03 To Thursday 2023-03-09;16400; to 17000;12,000000;20;From_16400 To_17000
Friday 2023-02-24 To Thursday 2023-03-02;16400; to 17000;17,000000;29;From_16400 To_17000
Friday 2023-03-03 To Thursday 2023-03-09;17000; to 17600;13,000000;22;From_17000 To_17600
Friday 2023-02-24 To Thursday 2023-03-02;17000; to 17600;37,000000;62;From_17000 To_17600
Friday 2023-03-03 To Thursday 2023-03-09;17600; to 18200;14,000000;24;From_17600 To_18200
Friday 2023-02-24 To Thursday 2023-03-02;17600; to 18200;26,000000;44;From_17600 To_18200
Friday 2023-02-24 To Thursday 2023-03-02;18200; to 18800;12,000000;20;From_18200 To_18800
Friday 2023-03-03 To Thursday 2023-03-09;18200; to 18800;13,000000;21;From_18200 To_18800
Friday 2023-02-24 To Thursday 2023-03-02;18800; to 19400;1,000000;2;From_18800 To_19400
Friday 2023-03-03 To Thursday 2023-03-09;18800; to 19400;4,000000;7;From_18800 To_19400
Friday 2023-03-03 To Thursday 2023-03-09;19400; to 20000;1,000000;1;From_19400 To_20000
Friday 2023-02-24 To Thursday 2023-03-02;19400; to 20000;2,000000;3;From_19400 To_20000
