Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2023-03-15 To Tuesday 2023-03-21;12700; to 13400;1,000000;1;From_12700 To_13400
Wednesday 2023-03-15 To Tuesday 2023-03-21;13400; to 14100;7,000000;11;From_13400 To_14100
Wednesday 2023-03-08 To Tuesday 2023-03-14;14100; to 14800;3,000000;5;From_14100 To_14800
Wednesday 2023-03-15 To Tuesday 2023-03-21;14100; to 14800;48,000000;80;From_14100 To_14800
Wednesday 2023-03-08 To Tuesday 2023-03-14;14800; to 15500;18,000000;30;From_14800 To_15500
Wednesday 2023-03-15 To Tuesday 2023-03-21;14800; to 15500;20,000000;33;From_14800 To_15500
Wednesday 2023-03-08 To Tuesday 2023-03-14;15500; to 16200;15,000000;26;From_15500 To_16200
Wednesday 2023-03-15 To Tuesday 2023-03-21;15500; to 16200;24,000000;40;From_15500 To_16200
Wednesday 2023-03-15 To Tuesday 2023-03-21;16200; to 16900;2,000000;3;From_16200 To_16900
Wednesday 2023-03-08 To Tuesday 2023-03-14;16200; to 16900;20,000000;33;From_16200 To_16900
Wednesday 2023-03-08 To Tuesday 2023-03-14;16900; to 17600;20,000000;34;From_16900 To_17600
Wednesday 2023-03-08 To Tuesday 2023-03-14;17600; to 18300;11,000000;19;From_17600 To_18300
Wednesday 2023-03-08 To Tuesday 2023-03-14;18300; to 19000;12,000000;20;From_18300 To_19000
Wednesday 2023-03-08 To Tuesday 2023-03-14;19000; to 19700;1,000000;1;From_19000 To_19700
