Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2023-03-16 To Wednesday 2023-03-22;13200; to 13600;1,000000;1;From_13200 To_13600
Thursday 2023-03-23 To Wednesday 2023-03-29;13200; to 13600;2,000000;3;From_13200 To_13600
Thursday 2023-03-16 To Wednesday 2023-03-22;13600; to 14000;2,000000;4;From_13600 To_14000
Thursday 2023-03-23 To Wednesday 2023-03-29;13600; to 14000;7,000000;12;From_13600 To_14000
Thursday 2023-03-23 To Wednesday 2023-03-29;14000; to 14400;8,000000;13;From_14000 To_14400
Thursday 2023-03-16 To Wednesday 2023-03-22;14000; to 14400;20,000000;33;From_14000 To_14400
Thursday 2023-03-16 To Wednesday 2023-03-22;14400; to 14800;21,000000;36;From_14400 To_14800
Thursday 2023-03-23 To Wednesday 2023-03-29;14400; to 14800;24,000000;41;From_14400 To_14800
Thursday 2023-03-23 To Wednesday 2023-03-29;14800; to 15200;16,000000;27;From_14800 To_15200
Thursday 2023-03-16 To Wednesday 2023-03-22;14800; to 15200;18,000000;31;From_14800 To_15200
Thursday 2023-03-23 To Wednesday 2023-03-29;15200; to 15600;9,000000;15;From_15200 To_15600
Thursday 2023-03-16 To Wednesday 2023-03-22;15200; to 15600;14,000000;23;From_15200 To_15600
Thursday 2023-03-16 To Wednesday 2023-03-22;15600; to 16000;11,000000;19;From_15600 To_16000
Thursday 2023-03-23 To Wednesday 2023-03-29;15600; to 16000;13,000000;22;From_15600 To_16000
Thursday 2023-03-23 To Wednesday 2023-03-29;16000; to 16400;5,000000;9;From_16000 To_16400
Thursday 2023-03-16 To Wednesday 2023-03-22;16000; to 16400;12,000000;20;From_16000 To_16400
Thursday 2023-03-23 To Wednesday 2023-03-29;16400; to 16800;1,000000;2;From_16400 To_16800
Thursday 2023-03-16 To Wednesday 2023-03-22;16400; to 16800;1,000000;1;From_16400 To_16800
