Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2023-01-26 To Wednesday 2023-02-01;13600; to 14200;2,000000;3;From_13600 To_14200
Thursday 2023-01-26 To Wednesday 2023-02-01;14200; to 14800;8,000000;14;From_14200 To_14800
Thursday 2023-01-19 To Wednesday 2023-01-25;14200; to 14800;8,000000;13;From_14200 To_14800
Thursday 2023-01-26 To Wednesday 2023-02-01;14800; to 15400;16,000000;27;From_14800 To_15400
Thursday 2023-01-19 To Wednesday 2023-01-25;14800; to 15400;23,000000;39;From_14800 To_15400
Thursday 2023-01-26 To Wednesday 2023-02-01;15400; to 16000;9,000000;15;From_15400 To_16000
Thursday 2023-01-19 To Wednesday 2023-01-25;15400; to 16000;55,000000;92;From_15400 To_16000
Thursday 2023-01-26 To Wednesday 2023-02-01;16000; to 16600;2,000000;4;From_16000 To_16600
Thursday 2023-01-19 To Wednesday 2023-01-25;16000; to 16600;14,000000;23;From_16000 To_16600
Thursday 2023-01-19 To Wednesday 2023-01-25;16600; to 17200;1,000000;1;From_16600 To_17200
Thursday 2023-01-26 To Wednesday 2023-02-01;16600; to 17200;8,000000;13;From_16600 To_17200
Thursday 2023-01-26 To Wednesday 2023-02-01;17200; to 17800;21,000000;35;From_17200 To_17800
Thursday 2023-01-26 To Wednesday 2023-02-01;17800; to 18400;15,000000;26;From_17800 To_18400
Thursday 2023-01-26 To Wednesday 2023-02-01;18400; to 19000;4,000000;7;From_18400 To_19000
