Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-12-05 To Sunday 2022-12-11;14600; to 15200;7,000000;12;From_14600 To_15200
Monday 2022-11-28 To Sunday 2022-12-04;15200; to 15800;2,000000;3;From_15200 To_15800
Monday 2022-12-05 To Sunday 2022-12-11;15200; to 15800;14,000000;23;From_15200 To_15800
Monday 2022-11-28 To Sunday 2022-12-04;15800; to 16400;13,000000;22;From_15800 To_16400
Monday 2022-12-05 To Sunday 2022-12-11;15800; to 16400;14,000000;24;From_15800 To_16400
Monday 2022-12-05 To Sunday 2022-12-11;16400; to 17000;7,000000;12;From_16400 To_17000
Monday 2022-11-28 To Sunday 2022-12-04;16400; to 17000;37,000000;62;From_16400 To_17000
Monday 2022-12-05 To Sunday 2022-12-11;17000; to 17600;7,000000;12;From_17000 To_17600
Monday 2022-11-28 To Sunday 2022-12-04;17000; to 17600;33,000000;56;From_17000 To_17600
Monday 2022-11-28 To Sunday 2022-12-04;17600; to 18200;14,000000;23;From_17600 To_18200
Monday 2022-12-05 To Sunday 2022-12-11;17600; to 18200;24,000000;40;From_17600 To_18200
Monday 2022-11-28 To Sunday 2022-12-04;18200; to 18800;1,000000;2;From_18200 To_18800
Monday 2022-12-05 To Sunday 2022-12-11;18200; to 18800;15,000000;25;From_18200 To_18800
Monday 2022-12-05 To Sunday 2022-12-11;18800; to 19400;7,000000;12;From_18800 To_19400
Monday 2022-12-05 To Sunday 2022-12-11;19400; to 20000;5,000000;8;From_19400 To_20000
