Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2023-02-11 To Friday 2023-02-17;14800; to 15600;9,000000;15;From_14800 To_15600
Saturday 2023-02-11 To Friday 2023-02-17;15600; to 16400;24,000000;40;From_15600 To_16400
Saturday 2023-02-18 To Friday 2023-02-24;16400; to 17200;4,000000;6;From_16400 To_17200
Saturday 2023-02-11 To Friday 2023-02-17;16400; to 17200;36,000000;61;From_16400 To_17200
Saturday 2023-02-18 To Friday 2023-02-24;17200; to 18000;15,000000;26;From_17200 To_18000
Saturday 2023-02-11 To Friday 2023-02-17;17200; to 18000;26,000000;43;From_17200 To_18000
Saturday 2023-02-11 To Friday 2023-02-17;18000; to 18800;5,000000;8;From_18000 To_18800
Saturday 2023-02-18 To Friday 2023-02-24;18000; to 18800;7,000000;12;From_18000 To_18800
Saturday 2023-02-11 To Friday 2023-02-17;18800; to 19600;1,000000;1;From_18800 To_19600
Saturday 2023-02-18 To Friday 2023-02-24;18800; to 19600;14,000000;24;From_18800 To_19600
Saturday 2023-02-18 To Friday 2023-02-24;19600; to 20400;19,000000;32;From_19600 To_20400
Saturday 2023-02-18 To Friday 2023-02-24;20400; to 21200;20,000000;34;From_20400 To_21200
Saturday 2023-02-18 To Friday 2023-02-24;21200; to 22000;6,000000;10;From_21200 To_22000
