DateTimeKey;Date Time Hour Beginning;Hourly UCLF+OCLF
2023-04-06 12:00:00;2023-04-06 12:00:00;15862,52
2023-04-06 13:00:00;2023-04-06 13:00:00;15998,371999999999
2023-04-06 14:00:00;2023-04-06 14:00:00;16227,093000000001
2023-04-06 15:00:00;2023-04-06 15:00:00;16266,058000000001
2023-04-06 16:00:00;2023-04-06 16:00:00;16188,383
2023-04-06 17:00:00;2023-04-06 17:00:00;15891,209000000001
2023-04-06 18:00:00;2023-04-06 18:00:00;15772,364
2023-04-06 19:00:00;2023-04-06 19:00:00;15773,791999999999
2023-04-06 20:00:00;2023-04-06 20:00:00;15795,231
2023-04-06 21:00:00;2023-04-06 21:00:00;15960,839
2023-04-06 22:00:00;2023-04-06 22:00:00;16072,811
2023-04-06 23:00:00;2023-04-06 23:00:00;15779,226000000001
2023-04-07 00:00:00;2023-04-07 00:00:00;15099,507
2023-04-07 01:00:00;2023-04-07 01:00:00;15478,059999999999
2023-04-07 02:00:00;2023-04-07 02:00:00;15738,040000000001
2023-04-07 03:00:00;2023-04-07 03:00:00;15219,695
2023-04-07 04:00:00;2023-04-07 04:00:00;15125,858
2023-04-07 05:00:00;2023-04-07 05:00:00;15210,865
2023-04-07 06:00:00;2023-04-07 06:00:00;15493,139999999999
2023-04-07 07:00:00;2023-04-07 07:00:00;15119,404
2023-04-07 08:00:00;2023-04-07 08:00:00;15228,030000000001
2023-04-07 09:00:00;2023-04-07 09:00:00;15353,108
2023-04-07 10:00:00;2023-04-07 10:00:00;15085,139999999999
2023-04-07 11:00:00;2023-04-07 11:00:00;15048,755999999999
2023-04-07 12:00:00;2023-04-07 12:00:00;15109,496999999999
2023-04-07 13:00:00;2023-04-07 13:00:00;15345,08
2023-04-07 14:00:00;2023-04-07 14:00:00;15438,012000000001
2023-04-07 15:00:00;2023-04-07 15:00:00;15148,916999999999
2023-04-07 16:00:00;2023-04-07 16:00:00;15215,116
2023-04-07 17:00:00;2023-04-07 17:00:00;15193,027
2023-04-07 18:00:00;2023-04-07 18:00:00;15204,623
2023-04-07 19:00:00;2023-04-07 19:00:00;15205,885
2023-04-07 20:00:00;2023-04-07 20:00:00;15283,539000000001
2023-04-07 21:00:00;2023-04-07 21:00:00;15055,986000000001
2023-04-07 22:00:00;2023-04-07 22:00:00;14704,598
2023-04-07 23:00:00;2023-04-07 23:00:00;14664,987999999999
2023-04-08 00:00:00;2023-04-08 00:00:00;14766,132
2023-04-08 01:00:00;2023-04-08 01:00:00;14761,380999999999
2023-04-08 02:00:00;2023-04-08 02:00:00;14757,531000000001
2023-04-08 03:00:00;2023-04-08 03:00:00;14726,834000000001
2023-04-08 04:00:00;2023-04-08 04:00:00;14537,887000000001
2023-04-08 05:00:00;2023-04-08 05:00:00;14287,886
2023-04-08 06:00:00;2023-04-08 06:00:00;14378,031000000001
