Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2023-01-24 To Monday 2023-01-30;13700; to 14400;2,000000;4;From_13700 To_14400
Tuesday 2023-01-31 To Monday 2023-02-06;13700; to 14400;4,000000;7;From_13700 To_14400
Tuesday 2023-01-24 To Monday 2023-01-30;14400; to 15100;19,000000;32;From_14400 To_15100
Tuesday 2023-01-31 To Monday 2023-02-06;14400; to 15100;24,000000;40;From_14400 To_15100
Tuesday 2023-01-31 To Monday 2023-02-06;15100; to 15800;14,000000;24;From_15100 To_15800
Tuesday 2023-01-24 To Monday 2023-01-30;15100; to 15800;29,000000;48;From_15100 To_15800
Tuesday 2023-01-31 To Monday 2023-02-06;15800; to 16500;2,000000;3;From_15800 To_16500
Tuesday 2023-01-24 To Monday 2023-01-30;15800; to 16500;15,000000;26;From_15800 To_16500
Tuesday 2023-01-24 To Monday 2023-01-30;16500; to 17200;8,000000;13;From_16500 To_17200
Tuesday 2023-01-31 To Monday 2023-02-06;16500; to 17200;10,000000;17;From_16500 To_17200
Tuesday 2023-01-31 To Monday 2023-02-06;17200; to 17900;12,000000;20;From_17200 To_17900
Tuesday 2023-01-24 To Monday 2023-01-30;17200; to 17900;18,000000;31;From_17200 To_17900
Tuesday 2023-01-24 To Monday 2023-01-30;17900; to 18600;7,000000;12;From_17900 To_18600
Tuesday 2023-01-31 To Monday 2023-02-06;17900; to 18600;17,000000;28;From_17900 To_18600
Tuesday 2023-01-24 To Monday 2023-01-30;18600; to 19300;1,000000;2;From_18600 To_19300
Tuesday 2023-01-31 To Monday 2023-02-06;18600; to 19300;2,000000;4;From_18600 To_19300
Tuesday 2023-01-31 To Monday 2023-02-06;19300; to 20000;1,000000;1;From_19300 To_20000
