Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2022-11-06 To Saturday 2022-11-12;13000; to 13500;1,000000;2;From_13000 To_13500
Sunday 2022-11-13 To Saturday 2022-11-19;13500; to 14000;4,000000;7;From_13500 To_14000
Sunday 2022-11-06 To Saturday 2022-11-12;13500; to 14000;10,000000;16;From_13500 To_14000
Sunday 2022-11-06 To Saturday 2022-11-12;14000; to 14500;8,000000;14;From_14000 To_14500
Sunday 2022-11-13 To Saturday 2022-11-19;14000; to 14500;15,000000;25;From_14000 To_14500
Sunday 2022-11-13 To Saturday 2022-11-19;14500; to 15000;11,000000;18;From_14500 To_15000
Sunday 2022-11-06 To Saturday 2022-11-12;14500; to 15000;23,000000;38;From_14500 To_15000
Sunday 2022-11-13 To Saturday 2022-11-19;15000; to 15500;13,000000;22;From_15000 To_15500
Sunday 2022-11-06 To Saturday 2022-11-12;15000; to 15500;18,000000;30;From_15000 To_15500
Sunday 2022-11-13 To Saturday 2022-11-19;15500; to 16000;17,000000;29;From_15500 To_16000
Sunday 2022-11-06 To Saturday 2022-11-12;15500; to 16000;17,000000;28;From_15500 To_16000
Sunday 2022-11-13 To Saturday 2022-11-19;16000; to 16500;12,000000;20;From_16000 To_16500
Sunday 2022-11-06 To Saturday 2022-11-12;16000; to 16500;17,000000;29;From_16000 To_16500
Sunday 2022-11-06 To Saturday 2022-11-12;16500; to 17000;6,000000;10;From_16500 To_17000
Sunday 2022-11-13 To Saturday 2022-11-19;16500; to 17000;16,000000;27;From_16500 To_17000
Sunday 2022-11-06 To Saturday 2022-11-12;17000; to 17500;1,000000;1;From_17000 To_17500
Sunday 2022-11-13 To Saturday 2022-11-19;17000; to 17500;11,000000;19;From_17000 To_17500
Sunday 2022-11-13 To Saturday 2022-11-19;17500; to 18000;1,000000;1;From_17500 To_18000
