Cal Year;Indicator;CSP;PV;Wind(Eskom+IPP);Total RE
2021-22;Total Energy;1583761;5094406;8528919;15333840
2022-23;Total Energy;1398844;4570840;9580637;15791129
 All Time Maximum;Annual Energy;1670540;5094406;9580637;15791129
