Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2023-02-04 To Friday 2023-02-10;13600; to 14200;1,000000;2;From_13600 To_14200
Saturday 2023-02-04 To Friday 2023-02-10;14200; to 14800;7,000000;12;From_14200 To_14800
Saturday 2023-01-28 To Friday 2023-02-03;14800; to 15400;2,000000;4;From_14800 To_15400
Saturday 2023-02-04 To Friday 2023-02-10;14800; to 15400;29,000000;48;From_14800 To_15400
Saturday 2023-01-28 To Friday 2023-02-03;15400; to 16000;18,000000;31;From_15400 To_16000
Saturday 2023-02-04 To Friday 2023-02-10;15400; to 16000;23,000000;39;From_15400 To_16000
Saturday 2023-01-28 To Friday 2023-02-03;16000; to 16600;4,000000;7;From_16000 To_16600
Saturday 2023-02-04 To Friday 2023-02-10;16000; to 16600;15,000000;25;From_16000 To_16600
Saturday 2023-02-04 To Friday 2023-02-10;16600; to 17200;7,000000;12;From_16600 To_17200
Saturday 2023-01-28 To Friday 2023-02-03;16600; to 17200;16,000000;27;From_16600 To_17200
Saturday 2023-02-04 To Friday 2023-02-10;17200; to 17800;4,000000;6;From_17200 To_17800
Saturday 2023-01-28 To Friday 2023-02-03;17200; to 17800;24,000000;40;From_17200 To_17800
Saturday 2023-01-28 To Friday 2023-02-03;17800; to 18400;25,000000;42;From_17800 To_18400
Saturday 2023-01-28 To Friday 2023-02-03;18400; to 19000;7,000000;12;From_18400 To_19000
Saturday 2023-01-28 To Friday 2023-02-03;19000; to 19600;3,000000;5;From_19000 To_19600
