Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2022-10-30 To Saturday 2022-11-05;11600; to 12200;4,000000;7;From_11600 To_12200
Sunday 2022-10-23 To Saturday 2022-10-29;12200; to 12800;2,000000;4;From_12200 To_12800
Sunday 2022-10-30 To Saturday 2022-11-05;12200; to 12800;10,000000;16;From_12200 To_12800
Sunday 2022-10-23 To Saturday 2022-10-29;12800; to 13400;9,000000;15;From_12800 To_13400
Sunday 2022-10-30 To Saturday 2022-11-05;12800; to 13400;10,000000;16;From_12800 To_13400
Sunday 2022-10-30 To Saturday 2022-11-05;13400; to 14000;13,000000;22;From_13400 To_14000
Sunday 2022-10-23 To Saturday 2022-10-29;13400; to 14000;18,000000;31;From_13400 To_14000
Sunday 2022-10-23 To Saturday 2022-10-29;14000; to 14600;19,000000;32;From_14000 To_14600
Sunday 2022-10-30 To Saturday 2022-11-05;14000; to 14600;30,000000;51;From_14000 To_14600
Sunday 2022-10-30 To Saturday 2022-11-05;14600; to 15200;15,000000;26;From_14600 To_15200
Sunday 2022-10-23 To Saturday 2022-10-29;14600; to 15200;21,000000;36;From_14600 To_15200
Sunday 2022-10-23 To Saturday 2022-10-29;15200; to 15800;17,000000;29;From_15200 To_15800
Sunday 2022-10-30 To Saturday 2022-11-05;15200; to 15800;17,000000;28;From_15200 To_15800
Sunday 2022-10-30 To Saturday 2022-11-05;15800; to 16400;1,000000;2;From_15800 To_16400
Sunday 2022-10-23 To Saturday 2022-10-29;15800; to 16400;6,000000;10;From_15800 To_16400
Sunday 2022-10-23 To Saturday 2022-10-29;16400; to 17000;7,000000;11;From_16400 To_17000
