Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2023-01-17 To Monday 2023-01-23;14000; to 14500;1,000000;2;From_14000 To_14500
Tuesday 2023-01-17 To Monday 2023-01-23;14500; to 15000;11,000000;19;From_14500 To_15000
Tuesday 2023-01-17 To Monday 2023-01-23;15000; to 15500;27,000000;45;From_15000 To_15500
Tuesday 2023-01-10 To Monday 2023-01-16;15500; to 16000;6,000000;10;From_15500 To_16000
Tuesday 2023-01-17 To Monday 2023-01-23;15500; to 16000;26,000000;44;From_15500 To_16000
Tuesday 2023-01-17 To Monday 2023-01-23;16000; to 16500;21,000000;36;From_16000 To_16500
Tuesday 2023-01-10 To Monday 2023-01-16;16000; to 16500;23,000000;38;From_16000 To_16500
Tuesday 2023-01-17 To Monday 2023-01-23;16500; to 17000;11,000000;18;From_16500 To_17000
Tuesday 2023-01-10 To Monday 2023-01-16;16500; to 17000;29,000000;49;From_16500 To_17000
Tuesday 2023-01-17 To Monday 2023-01-23;17000; to 17500;2,000000;4;From_17000 To_17500
Tuesday 2023-01-10 To Monday 2023-01-16;17000; to 17500;25,000000;42;From_17000 To_17500
Tuesday 2023-01-10 To Monday 2023-01-16;17500; to 18000;14,000000;24;From_17500 To_18000
Tuesday 2023-01-10 To Monday 2023-01-16;18000; to 18500;3,000000;5;From_18000 To_18500
