Fin_Year;Value;DESCR;MaximumDate;Title_Desc
  All Time;399,69999999999999;    CSP;2018-12-04;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
  All Time;1392,0999999999999;   PV;2018-10-03;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
  All Time;1902,3;  Wind(Eskom+IPP);2018-10-02;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
  All Time;3298,9000000000001;Total RE;2018-09-28;Maximum Contribution (MW) - based on System Operator data (subject to metering verification)
