Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2023-02-10 To Thursday 2023-02-16;14800; to 15600;9,000000;15;From_14800 To_15600
Friday 2023-02-17 To Thursday 2023-02-23;15600; to 16400;2,000000;3;From_15600 To_16400
Friday 2023-02-10 To Thursday 2023-02-16;15600; to 16400;30,000000;50;From_15600 To_16400
Friday 2023-02-17 To Thursday 2023-02-23;16400; to 17200;11,000000;19;From_16400 To_17200
Friday 2023-02-10 To Thursday 2023-02-16;16400; to 17200;36,000000;60;From_16400 To_17200
Friday 2023-02-17 To Thursday 2023-02-23;17200; to 18000;7,000000;11;From_17200 To_18000
Friday 2023-02-10 To Thursday 2023-02-16;17200; to 18000;22,000000;37;From_17200 To_18000
Friday 2023-02-10 To Thursday 2023-02-16;18000; to 18800;4,000000;6;From_18000 To_18800
Friday 2023-02-17 To Thursday 2023-02-23;18000; to 18800;6,000000;10;From_18000 To_18800
Friday 2023-02-17 To Thursday 2023-02-23;18800; to 19600;15,000000;25;From_18800 To_19600
Friday 2023-02-17 To Thursday 2023-02-23;19600; to 20400;19,000000;32;From_19600 To_20400
Friday 2023-02-17 To Thursday 2023-02-23;20400; to 21200;20,000000;34;From_20400 To_21200
Friday 2023-02-17 To Thursday 2023-02-23;21200; to 22000;6,000000;10;From_21200 To_22000
