Week Start;Average Load Factor;Average Load Factor at Evening Peak;Average Load Factor at Night Minimum
2019-04-01;39,249153004375941;52,551839772721031;36,771433791811134
2019-04-08;24,573187073325293;33,177791118755458;22,424331928409323
2019-04-15;29,82221678050762;40,959671170849376;25,045980580176831
2019-04-22;30,687276817196835;30,975737585105971;34,059486259403549
2019-04-29;35,301276463676189;39,291058308925756;30,66538584122344
2019-05-06;32,58499921923223;28,265747696162741;33,079139626000796
2019-05-13;34,942325934585838;38,202381868237538;32,32738392891487
2019-05-20;24,187805781619474;21,839401799108689;27,501737837882388
2019-05-27;22,922594262250023;23,208989773545298;25,822381978140335
2019-06-03;42,811632798289892;41,992496386945746;38,5484863638112
2019-06-10;38,16795768101445;34,456723028481292;35,45942114199989
2019-06-17;40,636343456296203;33,080733216470023;45,190990443952316
2019-06-24;40,181012472592961;47,070005330285362;32,273352969298649
2019-07-01;44,559641840542014;39,918273537056471;48,110152819830859
2019-07-08;30,748279735115929;27,837085597788757;31,290038960539402
2019-07-15;41,826217184858294;37,66322625138065;38,179501480940111
2019-07-22;51,408269177579058;46,929851796086346;51,171584358634782
2019-07-29;36,531726183783363;41,187404636432404;33,875735661807134
