Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2023-01-14 To Friday 2023-01-20;13600; to 14200;4,000000;7;From_13600 To_14200
Saturday 2023-01-14 To Friday 2023-01-20;14200; to 14800;9,000000;15;From_14200 To_14800
Saturday 2023-01-14 To Friday 2023-01-20;14800; to 15400;1,000000;2;From_14800 To_15400
Saturday 2023-01-07 To Friday 2023-01-13;15400; to 16000;7,000000;11;From_15400 To_16000
Saturday 2023-01-14 To Friday 2023-01-20;15400; to 16000;10,000000;16;From_15400 To_16000
Saturday 2023-01-07 To Friday 2023-01-13;16000; to 16600;27,000000;45;From_16000 To_16600
Saturday 2023-01-14 To Friday 2023-01-20;16000; to 16600;39,000000;66;From_16000 To_16600
Saturday 2023-01-14 To Friday 2023-01-20;16600; to 17200;23,000000;39;From_16600 To_17200
Saturday 2023-01-07 To Friday 2023-01-13;16600; to 17200;37,000000;62;From_16600 To_17200
Saturday 2023-01-14 To Friday 2023-01-20;17200; to 17800;13,000000;22;From_17200 To_17800
Saturday 2023-01-07 To Friday 2023-01-13;17200; to 17800;24,000000;40;From_17200 To_17800
Saturday 2023-01-14 To Friday 2023-01-20;17800; to 18400;1,000000;1;From_17800 To_18400
Saturday 2023-01-07 To Friday 2023-01-13;17800; to 18400;6,000000;10;From_17800 To_18400
