Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2023-02-02 To Wednesday 2023-02-08;13600; to 14200;1,000000;2;From_13600 To_14200
Thursday 2023-02-02 To Wednesday 2023-02-08;14200; to 14800;7,000000;11;From_14200 To_14800
Thursday 2023-02-09 To Wednesday 2023-02-15;14800; to 15400;8,000000;13;From_14800 To_15400
Thursday 2023-02-02 To Wednesday 2023-02-08;14800; to 15400;24,000000;40;From_14800 To_15400
Thursday 2023-02-09 To Wednesday 2023-02-15;15400; to 16000;18,000000;31;From_15400 To_16000
Thursday 2023-02-02 To Wednesday 2023-02-08;15400; to 16000;29,000000;48;From_15400 To_16000
Thursday 2023-02-02 To Wednesday 2023-02-08;16000; to 16600;17,000000;28;From_16000 To_16600
Thursday 2023-02-09 To Wednesday 2023-02-15;16000; to 16600;31,000000;52;From_16000 To_16600
Thursday 2023-02-02 To Wednesday 2023-02-08;16600; to 17200;16,000000;27;From_16600 To_17200
Thursday 2023-02-09 To Wednesday 2023-02-15;16600; to 17200;18,000000;30;From_16600 To_17200
Thursday 2023-02-02 To Wednesday 2023-02-08;17200; to 17800;7,000000;12;From_17200 To_17800
Thursday 2023-02-09 To Wednesday 2023-02-15;17200; to 17800;8,000000;14;From_17200 To_17800
Thursday 2023-02-09 To Wednesday 2023-02-15;17800; to 18400;1,000000;2;From_17800 To_18400
Thursday 2023-02-09 To Wednesday 2023-02-15;18400; to 19000;1,000000;2;From_18400 To_19000
