Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2023-03-13 To Sunday 2023-03-19;11800; to 12600;2,000000;3;From_11800 To_12600
Monday 2023-03-13 To Sunday 2023-03-19;12600; to 13400;5,000000;9;From_12600 To_13400
Monday 2023-03-13 To Sunday 2023-03-19;13400; to 14200;17,000000;29;From_13400 To_14200
Monday 2023-03-13 To Sunday 2023-03-19;14200; to 15000;39,000000;66;From_14200 To_15000
Monday 2023-03-06 To Sunday 2023-03-12;15000; to 15800;4,000000;6;From_15000 To_15800
Monday 2023-03-13 To Sunday 2023-03-19;15000; to 15800;20,000000;34;From_15000 To_15800
Monday 2023-03-13 To Sunday 2023-03-19;15800; to 16600;2,000000;3;From_15800 To_16600
Monday 2023-03-06 To Sunday 2023-03-12;15800; to 16600;20,000000;34;From_15800 To_16600
Monday 2023-03-06 To Sunday 2023-03-12;16600; to 17400;31,000000;52;From_16600 To_17400
Monday 2023-03-06 To Sunday 2023-03-12;17400; to 18200;15,000000;26;From_17400 To_18200
Monday 2023-03-06 To Sunday 2023-03-12;18200; to 19000;27,000000;45;From_18200 To_19000
Monday 2023-03-06 To Sunday 2023-03-12;19000; to 19800;3,000000;5;From_19000 To_19800
