Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2022-12-27 To Monday 2023-01-02;14500; to 15000;3,000000;5;From_14500 To_15000
Tuesday 2023-01-03 To Monday 2023-01-09;15000; to 15500;4,000000;6;From_15000 To_15500
Tuesday 2022-12-27 To Monday 2023-01-02;15000; to 15500;17,000000;29;From_15000 To_15500
Tuesday 2023-01-03 To Monday 2023-01-09;15500; to 16000;2,000000;3;From_15500 To_16000
Tuesday 2022-12-27 To Monday 2023-01-02;15500; to 16000;21,000000;35;From_15500 To_16000
Tuesday 2023-01-03 To Monday 2023-01-09;16000; to 16500;13,000000;22;From_16000 To_16500
Tuesday 2022-12-27 To Monday 2023-01-02;16000; to 16500;24,000000;41;From_16000 To_16500
Tuesday 2022-12-27 To Monday 2023-01-02;16500; to 17000;23,000000;39;From_16500 To_17000
Tuesday 2023-01-03 To Monday 2023-01-09;16500; to 17000;23,000000;38;From_16500 To_17000
Tuesday 2022-12-27 To Monday 2023-01-02;17000; to 17500;9,000000;15;From_17000 To_17500
Tuesday 2023-01-03 To Monday 2023-01-09;17000; to 17500;29,000000;48;From_17000 To_17500
Tuesday 2022-12-27 To Monday 2023-01-02;17500; to 18000;2,000000;4;From_17500 To_18000
Tuesday 2023-01-03 To Monday 2023-01-09;17500; to 18000;20,000000;33;From_17500 To_18000
Tuesday 2023-01-03 To Monday 2023-01-09;18000; to 18500;10,000000;17;From_18000 To_18500
Tuesday 2023-01-03 To Monday 2023-01-09;18500; to 19000;1,000000;1;From_18500 To_19000
