Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-10-22 To Friday 2022-10-28;12500; to 13000;1,000000;1;From_12500 To_13000
Saturday 2022-10-29 To Friday 2022-11-04;12500; to 13000;5,000000;8;From_12500 To_13000
Saturday 2022-10-22 To Friday 2022-10-28;13000; to 13500;6,000000;10;From_13000 To_13500
Saturday 2022-10-29 To Friday 2022-11-04;13000; to 13500;11,000000;18;From_13000 To_13500
Saturday 2022-10-22 To Friday 2022-10-28;13500; to 14000;11,000000;18;From_13500 To_14000
Saturday 2022-10-29 To Friday 2022-11-04;13500; to 14000;13,000000;21;From_13500 To_14000
Saturday 2022-10-22 To Friday 2022-10-28;14000; to 14500;14,000000;24;From_14000 To_14500
Saturday 2022-10-29 To Friday 2022-11-04;14000; to 14500;25,000000;42;From_14000 To_14500
Saturday 2022-10-29 To Friday 2022-11-04;14500; to 15000;11,000000;19;From_14500 To_15000
Saturday 2022-10-22 To Friday 2022-10-28;14500; to 15000;21,000000;35;From_14500 To_15000
Saturday 2022-10-29 To Friday 2022-11-04;15000; to 15500;15,000000;25;From_15000 To_15500
Saturday 2022-10-22 To Friday 2022-10-28;15000; to 15500;23,000000;38;From_15000 To_15500
Saturday 2022-10-29 To Friday 2022-11-04;15500; to 16000;7,000000;11;From_15500 To_16000
Saturday 2022-10-22 To Friday 2022-10-28;15500; to 16000;15,000000;25;From_15500 To_16000
Saturday 2022-10-22 To Friday 2022-10-28;16000; to 16500;5,000000;8;From_16000 To_16500
Saturday 2022-10-22 To Friday 2022-10-28;16500; to 17000;5,000000;9;From_16500 To_17000
