Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2022-11-18 To Thursday 2022-11-24;12600; to 13200;2,000000;4;From_12600 To_13200
Friday 2022-11-18 To Thursday 2022-11-24;13200; to 13800;18,000000;31;From_13200 To_13800
Friday 2022-11-25 To Thursday 2022-12-01;13800; to 14400;5,000000;9;From_13800 To_14400
Friday 2022-11-18 To Thursday 2022-11-24;13800; to 14400;35,000000;59;From_13800 To_14400
Friday 2022-11-25 To Thursday 2022-12-01;14400; to 15000;13,000000;22;From_14400 To_15000
Friday 2022-11-18 To Thursday 2022-11-24;14400; to 15000;18,000000;31;From_14400 To_15000
Friday 2022-11-18 To Thursday 2022-11-24;15000; to 15600;14,000000;24;From_15000 To_15600
Friday 2022-11-25 To Thursday 2022-12-01;15000; to 15600;17,000000;29;From_15000 To_15600
Friday 2022-11-18 To Thursday 2022-11-24;15600; to 16200;6,000000;10;From_15600 To_16200
Friday 2022-11-25 To Thursday 2022-12-01;15600; to 16200;18,000000;31;From_15600 To_16200
Friday 2022-11-18 To Thursday 2022-11-24;16200; to 16800;5,000000;8;From_16200 To_16800
Friday 2022-11-25 To Thursday 2022-12-01;16200; to 16800;24,000000;40;From_16200 To_16800
Friday 2022-11-18 To Thursday 2022-11-24;16800; to 17400;1,000000;1;From_16800 To_17400
Friday 2022-11-25 To Thursday 2022-12-01;16800; to 17400;15,000000;25;From_16800 To_17400
Friday 2022-11-25 To Thursday 2022-12-01;17400; to 18000;6,000000;10;From_17400 To_18000
Friday 2022-11-25 To Thursday 2022-12-01;18000; to 18600;1,000000;2;From_18000 To_18600
