Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-10-29 To Friday 2022-11-04;12500; to 13000;1,000000;1;From_12500 To_13000
Saturday 2022-11-05 To Friday 2022-11-11;12500; to 13000;1,000000;1;From_12500 To_13000
Saturday 2022-11-05 To Friday 2022-11-11;13000; to 13500;8,000000;13;From_13000 To_13500
Saturday 2022-10-29 To Friday 2022-11-04;13000; to 13500;13,000000;22;From_13000 To_13500
Saturday 2022-11-05 To Friday 2022-11-11;13500; to 14000;13,000000;22;From_13500 To_14000
Saturday 2022-10-29 To Friday 2022-11-04;13500; to 14000;15,000000;25;From_13500 To_14000
Saturday 2022-11-05 To Friday 2022-11-11;14000; to 14500;17,000000;29;From_14000 To_14500
Saturday 2022-10-29 To Friday 2022-11-04;14000; to 14500;31,000000;52;From_14000 To_14500
Saturday 2022-10-29 To Friday 2022-11-04;14500; to 15000;17,000000;29;From_14500 To_15000
Saturday 2022-11-05 To Friday 2022-11-11;14500; to 15000;20,000000;33;From_14500 To_15000
Saturday 2022-10-29 To Friday 2022-11-04;15000; to 15500;14,000000;24;From_15000 To_15500
Saturday 2022-11-05 To Friday 2022-11-11;15000; to 15500;16,000000;27;From_15000 To_15500
Saturday 2022-11-05 To Friday 2022-11-11;15500; to 16000;9,000000;15;From_15500 To_16000
Saturday 2022-10-29 To Friday 2022-11-04;15500; to 16000;9,000000;15;From_15500 To_16000
Saturday 2022-11-05 To Friday 2022-11-11;16000; to 16500;11,000000;18;From_16000 To_16500
Saturday 2022-11-05 To Friday 2022-11-11;16500; to 17000;6,000000;10;From_16500 To_17000
