Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-11-07 To Sunday 2022-11-13;13500; to 14000;3,000000;5;From_13500 To_14000
Monday 2022-11-14 To Sunday 2022-11-20;13500; to 14000;6,000000;10;From_13500 To_14000
Monday 2022-11-07 To Sunday 2022-11-13;14000; to 14500;5,000000;9;From_14000 To_14500
Monday 2022-11-14 To Sunday 2022-11-20;14000; to 14500;13,000000;21;From_14000 To_14500
Monday 2022-11-14 To Sunday 2022-11-20;14500; to 15000;17,000000;28;From_14500 To_15000
Monday 2022-11-07 To Sunday 2022-11-13;14500; to 15000;21,000000;35;From_14500 To_15000
Monday 2022-11-14 To Sunday 2022-11-20;15000; to 15500;14,000000;23;From_15000 To_15500
Monday 2022-11-07 To Sunday 2022-11-13;15000; to 15500;22,000000;37;From_15000 To_15500
Monday 2022-11-14 To Sunday 2022-11-20;15500; to 16000;14,000000;24;From_15500 To_16000
Monday 2022-11-07 To Sunday 2022-11-13;15500; to 16000;21,000000;36;From_15500 To_16000
Monday 2022-11-14 To Sunday 2022-11-20;16000; to 16500;11,000000;18;From_16000 To_16500
Monday 2022-11-07 To Sunday 2022-11-13;16000; to 16500;18,000000;30;From_16000 To_16500
Monday 2022-11-07 To Sunday 2022-11-13;16500; to 17000;7,000000;12;From_16500 To_17000
Monday 2022-11-14 To Sunday 2022-11-20;16500; to 17000;16,000000;27;From_16500 To_17000
Monday 2022-11-07 To Sunday 2022-11-13;17000; to 17500;2,000000;4;From_17000 To_17500
Monday 2022-11-14 To Sunday 2022-11-20;17000; to 17500;10,000000;16;From_17000 To_17500
Monday 2022-11-14 To Sunday 2022-11-20;17500; to 18000;1,000000;1;From_17500 To_18000
