Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-11-19 To Friday 2022-11-25;12600; to 13200;1,000000;2;From_12600 To_13200
Saturday 2022-11-12 To Friday 2022-11-18;13200; to 13800;1,000000;1;From_13200 To_13800
Saturday 2022-11-19 To Friday 2022-11-25;13200; to 13800;20,000000;33;From_13200 To_13800
Saturday 2022-11-12 To Friday 2022-11-18;13800; to 14400;8,000000;13;From_13800 To_14400
Saturday 2022-11-19 To Friday 2022-11-25;13800; to 14400;39,000000;65;From_13800 To_14400
Saturday 2022-11-12 To Friday 2022-11-18;14400; to 15000;6,000000;10;From_14400 To_15000
Saturday 2022-11-19 To Friday 2022-11-25;14400; to 15000;24,000000;41;From_14400 To_15000
Saturday 2022-11-19 To Friday 2022-11-25;15000; to 15600;13,000000;22;From_15000 To_15600
Saturday 2022-11-12 To Friday 2022-11-18;15000; to 15600;20,000000;34;From_15000 To_15600
Saturday 2022-11-19 To Friday 2022-11-25;15600; to 16200;3,000000;5;From_15600 To_16200
Saturday 2022-11-12 To Friday 2022-11-18;15600; to 16200;23,000000;38;From_15600 To_16200
Saturday 2022-11-12 To Friday 2022-11-18;16200; to 16800;21,000000;35;From_16200 To_16800
Saturday 2022-11-12 To Friday 2022-11-18;16800; to 17400;19,000000;32;From_16800 To_17400
Saturday 2022-11-12 To Friday 2022-11-18;17400; to 18000;3,000000;5;From_17400 To_18000
