Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2022-12-20 To Monday 2022-12-26;12600; to 13200;1,000000;2;From_12600 To_13200
Tuesday 2022-12-20 To Monday 2022-12-26;13200; to 13800;5,000000;9;From_13200 To_13800
Tuesday 2022-12-27 To Monday 2023-01-02;13800; to 14400;1,000000;1;From_13800 To_14400
Tuesday 2022-12-20 To Monday 2022-12-26;13800; to 14400;15,000000;26;From_13800 To_14400
Tuesday 2022-12-27 To Monday 2023-01-02;14400; to 15000;10,000000;16;From_14400 To_15000
Tuesday 2022-12-20 To Monday 2022-12-26;14400; to 15000;14,000000;24;From_14400 To_15000
Tuesday 2022-12-20 To Monday 2022-12-26;15000; to 15600;21,000000;35;From_15000 To_15600
Tuesday 2022-12-27 To Monday 2023-01-02;15000; to 15600;22,000000;37;From_15000 To_15600
Tuesday 2022-12-20 To Monday 2022-12-26;15600; to 16200;23,000000;39;From_15600 To_16200
Tuesday 2022-12-27 To Monday 2023-01-02;15600; to 16200;30,000000;51;From_15600 To_16200
Tuesday 2022-12-20 To Monday 2022-12-26;16200; to 16800;13,000000;22;From_16200 To_16800
Tuesday 2022-12-27 To Monday 2023-01-02;16200; to 16800;27,000000;45;From_16200 To_16800
Tuesday 2022-12-20 To Monday 2022-12-26;16800; to 17400;5,000000;9;From_16800 To_17400
Tuesday 2022-12-27 To Monday 2023-01-02;16800; to 17400;10,000000;17;From_16800 To_17400
Tuesday 2022-12-27 To Monday 2023-01-02;17400; to 18000;1,000000;1;From_17400 To_18000
Tuesday 2022-12-20 To Monday 2022-12-26;17400; to 18000;1,000000;2;From_17400 To_18000
