Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2022-12-23 To Thursday 2022-12-29;14000; to 14500;10,000000;17;From_14000 To_14500
Friday 2022-12-30 To Thursday 2023-01-05;14500; to 15000;3,000000;5;From_14500 To_15000
Friday 2022-12-23 To Thursday 2022-12-29;14500; to 15000;4,000000;6;From_14500 To_15000
Friday 2022-12-30 To Thursday 2023-01-05;15000; to 15500;15,000000;25;From_15000 To_15500
Friday 2022-12-23 To Thursday 2022-12-29;15000; to 15500;16,000000;27;From_15000 To_15500
Friday 2022-12-30 To Thursday 2023-01-05;15500; to 16000;8,000000;13;From_15500 To_16000
Friday 2022-12-23 To Thursday 2022-12-29;15500; to 16000;30,000000;51;From_15500 To_16000
Friday 2022-12-30 To Thursday 2023-01-05;16000; to 16500;14,000000;23;From_16000 To_16500
Friday 2022-12-23 To Thursday 2022-12-29;16000; to 16500;29,000000;48;From_16000 To_16500
Friday 2022-12-23 To Thursday 2022-12-29;16500; to 17000;11,000000;18;From_16500 To_17000
Friday 2022-12-30 To Thursday 2023-01-05;16500; to 17000;23,000000;38;From_16500 To_17000
Friday 2022-12-23 To Thursday 2022-12-29;17000; to 17500;1,000000;1;From_17000 To_17500
Friday 2022-12-30 To Thursday 2023-01-05;17000; to 17500;27,000000;45;From_17000 To_17500
Friday 2022-12-30 To Thursday 2023-01-05;17500; to 18000;11,000000;19;From_17500 To_18000
