Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2022-12-22 To Wednesday 2022-12-28;13000; to 13500;1,000000;2;From_13000 To_13500
Thursday 2022-12-22 To Wednesday 2022-12-28;13500; to 14000;6,000000;10;From_13500 To_14000
Thursday 2022-12-22 To Wednesday 2022-12-28;14000; to 14500;14,000000;23;From_14000 To_14500
Thursday 2022-12-29 To Wednesday 2023-01-04;14500; to 15000;3,000000;5;From_14500 To_15000
Thursday 2022-12-22 To Wednesday 2022-12-28;14500; to 15000;7,000000;11;From_14500 To_15000
Thursday 2022-12-29 To Wednesday 2023-01-04;15000; to 15500;15,000000;25;From_15000 To_15500
Thursday 2022-12-22 To Wednesday 2022-12-28;15000; to 15500;17,000000;28;From_15000 To_15500
Thursday 2022-12-29 To Wednesday 2023-01-04;15500; to 16000;10,000000;16;From_15500 To_16000
Thursday 2022-12-22 To Wednesday 2022-12-28;15500; to 16000;29,000000;48;From_15500 To_16000
Thursday 2022-12-22 To Wednesday 2022-12-28;16000; to 16500;21,000000;35;From_16000 To_16500
Thursday 2022-12-29 To Wednesday 2023-01-04;16000; to 16500;26,000000;44;From_16000 To_16500
Thursday 2022-12-22 To Wednesday 2022-12-28;16500; to 17000;6,000000;10;From_16500 To_17000
Thursday 2022-12-29 To Wednesday 2023-01-04;16500; to 17000;29,000000;48;From_16500 To_17000
Thursday 2022-12-22 To Wednesday 2022-12-28;17000; to 17500;1,000000;1;From_17000 To_17500
Thursday 2022-12-29 To Wednesday 2023-01-04;17000; to 17500;15,000000;26;From_17000 To_17500
Thursday 2022-12-29 To Wednesday 2023-01-04;17500; to 18000;2,000000;4;From_17500 To_18000
