Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2022-11-25 To Thursday 2022-12-01;13700; to 14400;3,000000;5;From_13700 To_14400
Friday 2022-11-25 To Thursday 2022-12-01;14400; to 15100;13,000000;21;From_14400 To_15100
Friday 2022-11-25 To Thursday 2022-12-01;15100; to 15800;16,000000;27;From_15100 To_15800
Friday 2022-12-02 To Thursday 2022-12-08;15800; to 16500;12,000000;20;From_15800 To_16500
Friday 2022-11-25 To Thursday 2022-12-01;15800; to 16500;19,000000;32;From_15800 To_16500
Friday 2022-12-02 To Thursday 2022-12-08;16500; to 17200;24,000000;40;From_16500 To_17200
Friday 2022-11-25 To Thursday 2022-12-01;16500; to 17200;25,000000;42;From_16500 To_17200
Friday 2022-11-25 To Thursday 2022-12-01;17200; to 17900;19,000000;32;From_17200 To_17900
Friday 2022-12-02 To Thursday 2022-12-08;17200; to 17900;33,000000;56;From_17200 To_17900
Friday 2022-11-25 To Thursday 2022-12-01;17900; to 18600;5,000000;9;From_17900 To_18600
Friday 2022-12-02 To Thursday 2022-12-08;17900; to 18600;16,000000;27;From_17900 To_18600
Friday 2022-12-02 To Thursday 2022-12-08;18600; to 19300;10,000000;16;From_18600 To_19300
Friday 2022-12-02 To Thursday 2022-12-08;19300; to 20000;5,000000;9;From_19300 To_20000
