Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2023-01-23 To Sunday 2023-01-29;13600; to 14200;1,000000;2;From_13600 To_14200
Monday 2023-01-30 To Sunday 2023-02-05;13600; to 14200;2,000000;4;From_13600 To_14200
Monday 2023-01-23 To Sunday 2023-01-29;14200; to 14800;11,000000;18;From_14200 To_14800
Monday 2023-01-30 To Sunday 2023-02-05;14200; to 14800;12,000000;20;From_14200 To_14800
Monday 2023-01-30 To Sunday 2023-02-05;14800; to 15400;7,000000;11;From_14800 To_15400
Monday 2023-01-23 To Sunday 2023-01-29;14800; to 15400;21,000000;36;From_14800 To_15400
Monday 2023-01-30 To Sunday 2023-02-05;15400; to 16000;8,000000;14;From_15400 To_16000
Monday 2023-01-23 To Sunday 2023-01-29;15400; to 16000;38,000000;63;From_15400 To_16000
Monday 2023-01-30 To Sunday 2023-02-05;16000; to 16600;1,000000;2;From_16000 To_16600
Monday 2023-01-23 To Sunday 2023-01-29;16000; to 16600;10,000000;16;From_16000 To_16600
Monday 2023-01-23 To Sunday 2023-01-29;16600; to 17200;7,000000;11;From_16600 To_17200
Monday 2023-01-30 To Sunday 2023-02-05;16600; to 17200;10,000000;17;From_16600 To_17200
Monday 2023-01-23 To Sunday 2023-01-29;17200; to 17800;10,000000;16;From_17200 To_17800
Monday 2023-01-30 To Sunday 2023-02-05;17200; to 17800;16,000000;27;From_17200 To_17800
Monday 2023-01-23 To Sunday 2023-01-29;17800; to 18400;4,000000;6;From_17800 To_18400
Monday 2023-01-30 To Sunday 2023-02-05;17800; to 18400;20,000000;33;From_17800 To_18400
Monday 2023-01-30 To Sunday 2023-02-05;18400; to 19000;7,000000;12;From_18400 To_19000
Monday 2023-01-30 To Sunday 2023-02-05;19000; to 19600;2,000000;4;From_19000 To_19600
