Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-12-19 To Sunday 2022-12-25;12600; to 13200;1,000000;2;From_12600 To_13200
Monday 2022-12-19 To Sunday 2022-12-25;13200; to 13800;5,000000;9;From_13200 To_13800
Monday 2022-12-19 To Sunday 2022-12-25;13800; to 14400;9,000000;15;From_13800 To_14400
Monday 2022-12-26 To Sunday 2023-01-01;13800; to 14400;10,000000;16;From_13800 To_14400
Monday 2022-12-26 To Sunday 2023-01-01;14400; to 15000;11,000000;19;From_14400 To_15000
Monday 2022-12-19 To Sunday 2022-12-25;14400; to 15000;14,000000;24;From_14400 To_15000
Monday 2022-12-26 To Sunday 2023-01-01;15000; to 15600;18,000000;31;From_15000 To_15600
Monday 2022-12-19 To Sunday 2022-12-25;15000; to 15600;21,000000;35;From_15000 To_15600
Monday 2022-12-19 To Sunday 2022-12-25;15600; to 16200;24,000000;41;From_15600 To_16200
Monday 2022-12-26 To Sunday 2023-01-01;15600; to 16200;26,000000;44;From_15600 To_16200
Monday 2022-12-19 To Sunday 2022-12-25;16200; to 16800;17,000000;28;From_16200 To_16800
Monday 2022-12-26 To Sunday 2023-01-01;16200; to 16800;24,000000;40;From_16200 To_16800
Monday 2022-12-19 To Sunday 2022-12-25;16800; to 17400;7,000000;12;From_16800 To_17400
Monday 2022-12-26 To Sunday 2023-01-01;16800; to 17400;10,000000;17;From_16800 To_17400
Monday 2022-12-26 To Sunday 2023-01-01;17400; to 18000;1,000000;1;From_17400 To_18000
Monday 2022-12-19 To Sunday 2022-12-25;17400; to 18000;1,000000;2;From_17400 To_18000
