Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-10-24 To Sunday 2022-10-30;12200; to 12800;3,000000;5;From_12200 To_12800
Monday 2022-10-31 To Sunday 2022-11-06;12200; to 12800;11,000000;18;From_12200 To_12800
Monday 2022-10-31 To Sunday 2022-11-06;12800; to 13400;11,000000;19;From_12800 To_13400
Monday 2022-10-24 To Sunday 2022-10-30;12800; to 13400;14,000000;23;From_12800 To_13400
Monday 2022-10-31 To Sunday 2022-11-06;13400; to 14000;13,000000;22;From_13400 To_14000
Monday 2022-10-24 To Sunday 2022-10-30;13400; to 14000;19,000000;32;From_13400 To_14000
Monday 2022-10-24 To Sunday 2022-10-30;14000; to 14600;16,000000;27;From_14000 To_14600
Monday 2022-10-31 To Sunday 2022-11-06;14000; to 14600;30,000000;50;From_14000 To_14600
Monday 2022-10-31 To Sunday 2022-11-06;14600; to 15200;17,000000;28;From_14600 To_15200
Monday 2022-10-24 To Sunday 2022-10-30;14600; to 15200;19,000000;32;From_14600 To_15200
Monday 2022-10-31 To Sunday 2022-11-06;15200; to 15800;17,000000;29;From_15200 To_15800
Monday 2022-10-24 To Sunday 2022-10-30;15200; to 15800;17,000000;28;From_15200 To_15800
Monday 2022-10-31 To Sunday 2022-11-06;15800; to 16400;1,000000;2;From_15800 To_16400
Monday 2022-10-24 To Sunday 2022-10-30;15800; to 16400;6,000000;10;From_15800 To_16400
Monday 2022-10-24 To Sunday 2022-10-30;16400; to 17000;7,000000;11;From_16400 To_17000
