Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Tuesday 2022-11-22 To Monday 2022-11-28;12700; to 13400;1,000000;2;From_12700 To_13400
Tuesday 2022-11-22 To Monday 2022-11-28;13400; to 14100;23,000000;39;From_13400 To_14100
Tuesday 2022-11-22 To Monday 2022-11-28;14100; to 14800;29,000000;48;From_14100 To_14800
Tuesday 2022-11-22 To Monday 2022-11-28;14800; to 15500;22,000000;37;From_14800 To_15500
Tuesday 2022-11-29 To Monday 2022-12-05;15500; to 16200;8,000000;13;From_15500 To_16200
Tuesday 2022-11-22 To Monday 2022-11-28;15500; to 16200;14,000000;24;From_15500 To_16200
Tuesday 2022-11-22 To Monday 2022-11-28;16200; to 16900;8,000000;13;From_16200 To_16900
Tuesday 2022-11-29 To Monday 2022-12-05;16200; to 16900;30,000000;50;From_16200 To_16900
Tuesday 2022-11-22 To Monday 2022-11-28;16900; to 17600;3,000000;5;From_16900 To_17600
Tuesday 2022-11-29 To Monday 2022-12-05;16900; to 17600;43,000000;73;From_16900 To_17600
Tuesday 2022-11-29 To Monday 2022-12-05;17600; to 18300;17,000000;28;From_17600 To_18300
Tuesday 2022-11-29 To Monday 2022-12-05;18300; to 19000;2,000000;4;From_18300 To_19000
