Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-12-24 To Friday 2022-12-30;14000; to 14500;5,000000;9;From_14000 To_14500
Saturday 2022-12-31 To Friday 2023-01-06;14500; to 15000;3,000000;5;From_14500 To_15000
Saturday 2022-12-24 To Friday 2022-12-30;14500; to 15000;4,000000;6;From_14500 To_15000
Saturday 2022-12-31 To Friday 2023-01-06;15000; to 15500;13,000000;21;From_15000 To_15500
Saturday 2022-12-24 To Friday 2022-12-30;15000; to 15500;15,000000;26;From_15000 To_15500
Saturday 2022-12-31 To Friday 2023-01-06;15500; to 16000;7,000000;12;From_15500 To_16000
Saturday 2022-12-24 To Friday 2022-12-30;15500; to 16000;26,000000;43;From_15500 To_16000
Saturday 2022-12-31 To Friday 2023-01-06;16000; to 16500;10,000000;17;From_16000 To_16500
Saturday 2022-12-24 To Friday 2022-12-30;16000; to 16500;31,000000;52;From_16000 To_16500
Saturday 2022-12-24 To Friday 2022-12-30;16500; to 17000;15,000000;25;From_16500 To_17000
Saturday 2022-12-31 To Friday 2023-01-06;16500; to 17000;18,000000;31;From_16500 To_17000
Saturday 2022-12-24 To Friday 2022-12-30;17000; to 17500;4,000000;7;From_17000 To_17500
Saturday 2022-12-31 To Friday 2023-01-06;17000; to 17500;23,000000;39;From_17000 To_17500
Saturday 2022-12-31 To Friday 2023-01-06;17500; to 18000;11,000000;19;From_17500 To_18000
