Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Monday 2022-12-19 To Sunday 2022-12-25;12600; to 13200;1,000000;2;From_12600 To_13200
Monday 2022-12-19 To Sunday 2022-12-25;13200; to 13800;8,000000;13;From_13200 To_13800
Monday 2022-12-12 To Sunday 2022-12-18;13800; to 14400;3,000000;5;From_13800 To_14400
Monday 2022-12-19 To Sunday 2022-12-25;13800; to 14400;14,000000;23;From_13800 To_14400
Monday 2022-12-12 To Sunday 2022-12-18;14400; to 15000;10,000000;16;From_14400 To_15000
Monday 2022-12-19 To Sunday 2022-12-25;14400; to 15000;30,000000;50;From_14400 To_15000
Monday 2022-12-12 To Sunday 2022-12-18;15000; to 15600;22,000000;37;From_15000 To_15600
Monday 2022-12-19 To Sunday 2022-12-25;15000; to 15600;22,000000;37;From_15000 To_15600
Monday 2022-12-19 To Sunday 2022-12-25;15600; to 16200;7,000000;11;From_15600 To_16200
Monday 2022-12-12 To Sunday 2022-12-18;15600; to 16200;35,000000;59;From_15600 To_16200
Monday 2022-12-19 To Sunday 2022-12-25;16200; to 16800;11,000000;18;From_16200 To_16800
Monday 2022-12-12 To Sunday 2022-12-18;16200; to 16800;20,000000;34;From_16200 To_16800
Monday 2022-12-19 To Sunday 2022-12-25;16800; to 17400;7,000000;12;From_16800 To_17400
Monday 2022-12-12 To Sunday 2022-12-18;16800; to 17400;9,000000;15;From_16800 To_17400
Monday 2022-12-12 To Sunday 2022-12-18;17400; to 18000;1,000000;2;From_17400 To_18000
Monday 2022-12-19 To Sunday 2022-12-25;17400; to 18000;1,000000;2;From_17400 To_18000
