Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2022-12-21 To Tuesday 2022-12-27;12600; to 13200;1,000000;2;From_12600 To_13200
Wednesday 2022-12-21 To Tuesday 2022-12-27;13200; to 13800;5,000000;9;From_13200 To_13800
Wednesday 2022-12-28 To Tuesday 2023-01-03;13800; to 14400;1,000000;1;From_13800 To_14400
Wednesday 2022-12-21 To Tuesday 2022-12-27;13800; to 14400;15,000000;26;From_13800 To_14400
Wednesday 2022-12-28 To Tuesday 2023-01-03;14400; to 15000;10,000000;16;From_14400 To_15000
Wednesday 2022-12-21 To Tuesday 2022-12-27;14400; to 15000;16,000000;27;From_14400 To_15000
Wednesday 2022-12-28 To Tuesday 2023-01-03;15000; to 15600;19,000000;32;From_15000 To_15600
Wednesday 2022-12-21 To Tuesday 2022-12-27;15000; to 15600;23,000000;38;From_15000 To_15600
Wednesday 2022-12-28 To Tuesday 2023-01-03;15600; to 16200;23,000000;39;From_15600 To_16200
Wednesday 2022-12-21 To Tuesday 2022-12-27;15600; to 16200;25,000000;42;From_15600 To_16200
Wednesday 2022-12-21 To Tuesday 2022-12-27;16200; to 16800;14,000000;23;From_16200 To_16800
Wednesday 2022-12-28 To Tuesday 2023-01-03;16200; to 16800;30,000000;50;From_16200 To_16800
Wednesday 2022-12-21 To Tuesday 2022-12-27;16800; to 17400;1,000000;1;From_16800 To_17400
Wednesday 2022-12-28 To Tuesday 2023-01-03;16800; to 17400;17,000000;28;From_16800 To_17400
Wednesday 2022-12-28 To Tuesday 2023-01-03;17400; to 18000;1,000000;2;From_17400 To_18000
