Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Wednesday 2023-01-25 To Tuesday 2023-01-31;13600; to 14200;2,000000;3;From_13600 To_14200
Wednesday 2023-01-18 To Tuesday 2023-01-24;14200; to 14800;7,000000;12;From_14200 To_14800
Wednesday 2023-01-25 To Tuesday 2023-01-31;14200; to 14800;12,000000;20;From_14200 To_14800
Wednesday 2023-01-18 To Tuesday 2023-01-24;14800; to 15400;17,000000;29;From_14800 To_15400
Wednesday 2023-01-25 To Tuesday 2023-01-31;14800; to 15400;20,000000;34;From_14800 To_15400
Wednesday 2023-01-25 To Tuesday 2023-01-31;15400; to 16000;15,000000;25;From_15400 To_16000
Wednesday 2023-01-18 To Tuesday 2023-01-24;15400; to 16000;49,000000;82;From_15400 To_16000
Wednesday 2023-01-25 To Tuesday 2023-01-31;16000; to 16600;4,000000;6;From_16000 To_16600
Wednesday 2023-01-18 To Tuesday 2023-01-24;16000; to 16600;24,000000;40;From_16000 To_16600
Wednesday 2023-01-18 To Tuesday 2023-01-24;16600; to 17200;3,000000;5;From_16600 To_17200
Wednesday 2023-01-25 To Tuesday 2023-01-31;16600; to 17200;11,000000;18;From_16600 To_17200
Wednesday 2023-01-25 To Tuesday 2023-01-31;17200; to 17800;15,000000;25;From_17200 To_17800
Wednesday 2023-01-25 To Tuesday 2023-01-31;17800; to 18400;7,000000;11;From_17800 To_18400
Wednesday 2023-01-25 To Tuesday 2023-01-31;18400; to 19000;1,000000;2;From_18400 To_19000
