Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Saturday 2022-11-26 To Friday 2022-12-02;13700; to 14400;2,000000;4;From_13700 To_14400
Saturday 2022-11-26 To Friday 2022-12-02;14400; to 15100;8,000000;13;From_14400 To_15100
Saturday 2022-12-03 To Friday 2022-12-09;15100; to 15800;7,000000;11;From_15100 To_15800
Saturday 2022-11-26 To Friday 2022-12-02;15100; to 15800;8,000000;14;From_15100 To_15800
Saturday 2022-12-03 To Friday 2022-12-09;15800; to 16500;10,000000;17;From_15800 To_16500
Saturday 2022-11-26 To Friday 2022-12-02;15800; to 16500;20,000000;34;From_15800 To_16500
Saturday 2022-12-03 To Friday 2022-12-09;16500; to 17200;23,000000;38;From_16500 To_17200
Saturday 2022-11-26 To Friday 2022-12-02;16500; to 17200;29,000000;49;From_16500 To_17200
Saturday 2022-12-03 To Friday 2022-12-09;17200; to 17900;23,000000;38;From_17200 To_17900
Saturday 2022-11-26 To Friday 2022-12-02;17200; to 17900;27,000000;45;From_17200 To_17900
Saturday 2022-11-26 To Friday 2022-12-02;17900; to 18600;5,000000;9;From_17900 To_18600
Saturday 2022-12-03 To Friday 2022-12-09;17900; to 18600;21,000000;36;From_17900 To_18600
Saturday 2022-12-03 To Friday 2022-12-09;18600; to 19300;11,000000;18;From_18600 To_19300
Saturday 2022-12-03 To Friday 2022-12-09;19300; to 20000;6,000000;10;From_19300 To_20000
