Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Friday 2023-01-27 To Thursday 2023-02-02;13600; to 14200;1,000000;2;From_13600 To_14200
Friday 2023-01-27 To Thursday 2023-02-02;14200; to 14800;4,000000;6;From_14200 To_14800
Friday 2023-01-20 To Thursday 2023-01-26;14200; to 14800;14,000000;24;From_14200 To_14800
Friday 2023-01-27 To Thursday 2023-02-02;14800; to 15400;9,000000;15;From_14800 To_15400
Friday 2023-01-20 To Thursday 2023-01-26;14800; to 15400;28,000000;47;From_14800 To_15400
Friday 2023-01-27 To Thursday 2023-02-02;15400; to 16000;7,000000;12;From_15400 To_16000
Friday 2023-01-20 To Thursday 2023-01-26;15400; to 16000;50,000000;84;From_15400 To_16000
Friday 2023-01-27 To Thursday 2023-02-02;16000; to 16600;2,000000;4;From_16000 To_16600
Friday 2023-01-20 To Thursday 2023-01-26;16000; to 16600;8,000000;13;From_16000 To_16600
Friday 2023-01-27 To Thursday 2023-02-02;16600; to 17200;8,000000;14;From_16600 To_17200
Friday 2023-01-27 To Thursday 2023-02-02;17200; to 17800;23,000000;39;From_17200 To_17800
Friday 2023-01-27 To Thursday 2023-02-02;17800; to 18400;24,000000;40;From_17800 To_18400
Friday 2023-01-27 To Thursday 2023-02-02;18400; to 19000;7,000000;11;From_18400 To_19000
Friday 2023-01-27 To Thursday 2023-02-02;19000; to 19600;1,000000;1;From_19000 To_19600
