Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2022-11-24 To Wednesday 2022-11-30;13600; to 14200;9,000000;15;From_13600 To_14200
Thursday 2022-11-24 To Wednesday 2022-11-30;14200; to 14800;13,000000;22;From_14200 To_14800
Thursday 2022-11-24 To Wednesday 2022-11-30;14800; to 15400;14,000000;24;From_14800 To_15400
Thursday 2022-12-01 To Wednesday 2022-12-07;15400; to 16000;4,000000;6;From_15400 To_16000
Thursday 2022-11-24 To Wednesday 2022-11-30;15400; to 16000;19,000000;32;From_15400 To_16000
Thursday 2022-11-24 To Wednesday 2022-11-30;16000; to 16600;12,000000;20;From_16000 To_16600
Thursday 2022-12-01 To Wednesday 2022-12-07;16000; to 16600;20,000000;33;From_16000 To_16600
Thursday 2022-11-24 To Wednesday 2022-11-30;16600; to 17200;18,000000;31;From_16600 To_17200
Thursday 2022-12-01 To Wednesday 2022-12-07;16600; to 17200;29,000000;49;From_16600 To_17200
Thursday 2022-11-24 To Wednesday 2022-11-30;17200; to 17800;10,000000;17;From_17200 To_17800
Thursday 2022-12-01 To Wednesday 2022-12-07;17200; to 17800;22,000000;37;From_17200 To_17800
Thursday 2022-11-24 To Wednesday 2022-11-30;17800; to 18400;4,000000;7;From_17800 To_18400
Thursday 2022-12-01 To Wednesday 2022-12-07;17800; to 18400;7,000000;12;From_17800 To_18400
Thursday 2022-12-01 To Wednesday 2022-12-07;18400; to 19000;4,000000;7;From_18400 To_19000
