Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Thursday 2022-12-08 To Wednesday 2022-12-14;13700; to 14400;3,000000;5;From_13700 To_14400
Thursday 2022-12-15 To Wednesday 2022-12-21;13700; to 14400;4,000000;6;From_13700 To_14400
Thursday 2022-12-15 To Wednesday 2022-12-21;14400; to 15100;4,000000;7;From_14400 To_15100
Thursday 2022-12-08 To Wednesday 2022-12-14;14400; to 15100;17,000000;28;From_14400 To_15100
Thursday 2022-12-15 To Wednesday 2022-12-21;15100; to 15800;23,000000;39;From_15100 To_15800
Thursday 2022-12-08 To Wednesday 2022-12-14;15100; to 15800;32,000000;53;From_15100 To_15800
Thursday 2022-12-08 To Wednesday 2022-12-14;15800; to 16500;26,000000;44;From_15800 To_16500
Thursday 2022-12-15 To Wednesday 2022-12-21;15800; to 16500;33,000000;55;From_15800 To_16500
Thursday 2022-12-08 To Wednesday 2022-12-14;16500; to 17200;5,000000;9;From_16500 To_17200
Thursday 2022-12-15 To Wednesday 2022-12-21;16500; to 17200;29,000000;48;From_16500 To_17200
Thursday 2022-12-15 To Wednesday 2022-12-21;17200; to 17900;4,000000;6;From_17200 To_17900
Thursday 2022-12-08 To Wednesday 2022-12-14;17200; to 17900;7,000000;11;From_17200 To_17900
Thursday 2022-12-08 To Wednesday 2022-12-14;17900; to 18600;8,000000;13;From_17900 To_18600
Thursday 2022-12-08 To Wednesday 2022-12-14;18600; to 19300;1,000000;2;From_18600 To_19300
Thursday 2022-12-08 To Wednesday 2022-12-14;19300; to 20000;2,000000;3;From_19300 To_20000
