Week_Start_End_Date;Outage_Intervals;Class_Upper_IntVL;Total_T_Range;TTL_Per_INTERVAL;Total_T_Range_DESC
Sunday 2022-10-30 To Saturday 2022-11-05;12500; to 13000;1,000000;1;From_12500 To_13000
Sunday 2022-11-06 To Saturday 2022-11-12;13000; to 13500;6,000000;10;From_13000 To_13500
Sunday 2022-10-30 To Saturday 2022-11-05;13000; to 13500;9,000000;15;From_13000 To_13500
Sunday 2022-11-06 To Saturday 2022-11-12;13500; to 14000;11,000000;19;From_13500 To_14000
Sunday 2022-10-30 To Saturday 2022-11-05;13500; to 14000;13,000000;22;From_13500 To_14000
Sunday 2022-11-06 To Saturday 2022-11-12;14000; to 14500;19,000000;32;From_14000 To_14500
Sunday 2022-10-30 To Saturday 2022-11-05;14000; to 14500;32,000000;53;From_14000 To_14500
Sunday 2022-11-06 To Saturday 2022-11-12;14500; to 15000;18,000000;31;From_14500 To_15000
Sunday 2022-10-30 To Saturday 2022-11-05;14500; to 15000;23,000000;38;From_14500 To_15000
Sunday 2022-10-30 To Saturday 2022-11-05;15000; to 15500;14,000000;24;From_15000 To_15500
Sunday 2022-11-06 To Saturday 2022-11-12;15000; to 15500;20,000000;33;From_15000 To_15500
Sunday 2022-11-06 To Saturday 2022-11-12;15500; to 16000;9,000000;15;From_15500 To_16000
Sunday 2022-10-30 To Saturday 2022-11-05;15500; to 16000;9,000000;15;From_15500 To_16000
Sunday 2022-11-06 To Saturday 2022-11-12;16000; to 16500;11,000000;18;From_16000 To_16500
Sunday 2022-11-06 To Saturday 2022-11-12;16500; to 17000;6,000000;10;From_16500 To_17000
